BAD,MORTDUE,VALUE,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,31000,47350,ProfExe,12,,,,,,
1,63125,126500,Office,3,0,0,100.3,0,14,
1,100000,129693.5,Mgr,13,,,,,,
1,,132000,Other,17.5,0,2,121.9,0,14,
1,,9100,Other,1,0,0,54.73333333,2,8,
1,34200,50830,Other,6,0,0,57,1,9,
1,,71277,Other,10,0,0,72.43333333,1,12,
1,123000,157500,Mgr,9,,,,,,
1,16600,25250,Other,6,0,0,88.7,1,3,
1,,52000,Other,,0,1,285.3333333,0,6,
1,22700,34225,Other,4,0,0,74.63333333,3,9,
1,6000,38575,Self,7,0,1,335.0333333,3,42,
1,,74500,Other,19,,,,,,
1,,94119,Other,19,,,,,,
0,73126,87500,Other,1,0,0,125.9666667,2,10,
0,72517,86250,Mgr,19,0,1,300.3666667,1,24,
0,26037,35000,ProfExe,12,0,0,182.6333333,0,13,
0,39000,50340,Office,10,,,179.8333333,,19,
0,,26550,Other,1.7,0,0,276.9666667,1,14,
0,70470,77908,,5,,,,,,
0,,36375,Other,3,0,0,266.8,1,26,
0,74225,89640,ProfExe,0.3,,,,,,
0,,65400,Office,1.5,0,0,51.76666667,0,4,
1,,37500,Other,,0,3,107.1333333,10,5,
0,78565,98500,ProfExe,24,0,0,51.76666667,3,14,
0,59900,80800,ProfExe,15,0,0,219.1333333,1,18,
1,10171,26809,Office,13,3,6,228.3,0,24,
1,78893,82600,Mgr,16,0,0,133.9,1,34,
1,85165,107940,Mgr,6,5,3,122.7666667,5,28,
1,68000,75616,ProfExe,0.1,0,0,131.8666667,0,30,
1,71571,85100,ProfExe,1.4,0,1,82.13333333,0,13,
1,28000,36810,Other,2,1,0,222.2,1,6,
1,40000,32480,Other,8,3,2,163.3666667,1,16,
1,81748,,ProfExe,14,1,2,144.0666667,2,17,
0,44674,59375,Office,10,,,178.6925087,,19,26.44819746
1,61999,75021.3,Other,5,0,0,97.1,0,23,
0,80153,97275,Other,1,0,0,120.6750632,2,10,37.51270841
0,68739,93435,Mgr,3,0,0,148.7204047,0,23,36.66927861
0,51209,55320,,5,,1,69.1074656,,15,35.02507297
1,46696,85202,Other,2,1,2,148.3406455,0,14,46.489874
0,,46281,Other,2,0,0,257.6522064,0,26,40.95258888
0,66435,82819,Other,2,0,0,125.1306256,0,14,42.18353867
0,179725,251962,Sales,,0,0,127.4988134,0,22,40.30825936
0,85583,115341,ProfExe,7,0,0,177.9582551,1,28,26.25797013
0,72891,80691,Other,1,1,0,273.8817052,0,6,39.85214652
1,30755,46735,Other,10,0,0,69,0,17,
0,,26715,Other,1,0,0,258.7892976,0,14,26.72234334
0,87258,121382,ProfExe,6,0,0,181.6630402,0,28,25.44475915
0,,28291,Other,2,0,0,277.9445608,1,14,23.64469128
1,9900,30451,Other,11,0,0,21.2,0,2,
0,93000,116875,Other,10,,,417.6333333,2,50,
1,15500,34000,Other,0,1,2,86.23333333,2,13,
1,129319,141875,Sales,7,1,0,157.8598021,0,36,25.65074122
0,66834,87361,Other,0,2,0,290.034108,0,6,38.76698507
0,73882,96031,Other,0,0,0,125.7874001,1,10,34.44607922
0,74071,97064,Other,0,0,0,121.0759726,2,9,36.40172955
0,62702,79784,Other,2,0,0,108.0725908,0,15,43.29013982
0,,36425,Other,2,0,0,266.8134646,1,14,23.79740106
0,67000,77000,Other,9,0,1,119.7,0,25,
0,43039,53521,Office,11,,,184.2966873,,19,24.41476318
0,19000,26000,Other,0,1,0,17.2,10,7,
1,,9500,Other,1,0,1,81.1,1,2,
0,91250,110000,Office,24,0,0,123.7666667,1,12,
0,16324,45187,Self,,0,0,221.1180817,0,11,42.71209384
1,40564,39527,Other,0,0,0,157.7710357,1,13,72.67043331
0,73698,84427,,4,,,,,,19.13120118
0,66987,65111,Sales,4,1,0,175.3287038,1,22,40.44257039
1,26908,36078,Other,,0,0,302.3587095,0,8,39.1969854
0,,49396,,0,0,0,,0,0,12.04367058
0,44993,50673,Office,7,,,184.7427672,,18,27.90612273
1,51000,64000,Mgr,10,1,0,98.33333333,0,12,
0,75958,91703,Other,0,0,0,124.1821788,1,10,34.59906019
0,97132,117343,Office,22,0,0,109.9339079,1,11,35.8385427
0,60826,80826,Mgr,10,,1,212.8917461,0,25,38.59149403
0,83552,96809,ProfExe,0,,,,,,28.42396191
0,47449,63895,Office,19,0,0,208.162714,0,20,19.7621137
0,50934,62957,Office,21,0,0,197.2419573,0,20,19.35050563
0,53429,64505,,5,,0,69.54243011,,16,36.4802363
0,,65474,Office,1,0,0,40.709849,0,4,37.84877104
0,47844,52040,Office,8,,,189.0343046,,18,24.70113626
1,45509,57453,Sales,4,0,0,95.6,0,22,
1,59720,63450,ProfExe,5,0,1,199.9,1,20,
0,86922,119846,ProfExe,5,0,0,185.0763473,1,28,26.3548893
0,68625,82304,Sales,2,0,0,136.6329442,0,30,32.05002349
0,65814,85848,Other,4,0,0,122.9402886,0,15,44.09232568
0,,75254,,,,,,,,23.16374295
1,78300,88000,ProfExe,8,0,0,102.5,3,19,
0,48152,55760,,6,,0,78.45212577,,16,35.763638
0,70481,82446,Other,8,0,1,116.5919769,0,24,37.61268272
0,,35402,,,,,,,,35.27207374
0,87765,101053,ProfExe,22,0,0,55.55804904,2,13,31.37554242
0,52897,65054,Office,20,0,0,189.2953185,0,19,20.6541289
1,24700,35675,Other,1,0,3,153.9333333,3,27,
1,,43132,Other,,,,,,,
0,43486,81600,,4,0,0,216.1333333,4,30,
1,21359,30000,Other,7,3,2,130.8,3,14,
1,,13770,Mgr,5,0,1,167.3666667,1,8,
0,93051,115374,ProfExe,6,0,0,187.0205188,1,27,27.64674851
0,87438,116679,ProfExe,6,0,0,186.424416,1,27,28.4175309
0,78059,78179,,5,,,,,,20.67931358
0,72147,69918,Sales,4,2,0,158.5344979,0,23,43.40443024
1,40584,46645,Other,4,0,1,136.3206375,0,13,34.49470897
1,,12972,Other,1,0,1,82.29426635,0,2,36.9867441
1,37368,48502,Mgr,9,0,2,48.995845,0,10,33.12648397
0,,66251,Office,1,0,0,43.72233695,0,3,41.45204353
0,71644,72696,Sales,4,2,0,150.8658451,0,22,40.44256779
1,85845,122205,ProfExe,5,0,0,172.2132767,1,26,32.67664088
0,53793,66379,Office,22,0,0,206.0991341,0,19,18.36954053
0,69435,83489,ProfExe,14,0,0,200.418434,1,17,22.84109285
0,29648,39907,ProfExe,11,0,0,180.5630691,0,13,21.55494966
0,76407,77485,Other,9,0,0,91.68377063,0,24,37.77335098
1,5000,66700,Other,31,1,1,204.0666667,0,11,
1,55160,86800,Other,3,1,1,148.1333333,1,14,
0,41439,53893,Office,8,,,181.3229899,,19,24.65139574
0,15275,47954,Self,,0,0,204.335245,0,12,42.39776964
0,100934,111496,Office,23,0,0,117.4995929,0,12,38.75056267
0,,74685,,,,,,,,24.27486528
0,49514,58249,Office,21,0,0,212.5391151,0,21,21.25802688
0,76948,85753,Other,7,0,0,128.4764515,0,25,37.85968784
0,28127,36524,ProfExe,10,0,0,181.2829568,0,13,24.33953357
0,,68591,Office,0,0,0,69.64566047,0,4,41.18503956
0,26927,35461,Other,0,1,0,21.79935215,10,6,29.43966424
0,49806,82242,,3,0,0,210.3474786,3,30,31.2434087
1,70000,84579,Sales,0.1,0,0,95.9,1,17,
1,58400,75000,ProfExe,4,0,0,177.5,2,26,
1,80437,109647,ProfExe,9.5,0,0,104.4,0,14,
1,77213,92661,Sales,0,0,0,97.13317095,1,16,41.77788863
0,62319,82923,Other,4,0,0,117.6739652,0,15,42.46486629
0,71556,79538,Other,2,0,0,92.64308456,0,15,41.21001247
0,,39052,Other,3,0,0,272.2206283,0,25,39.89610462
1,74172,79846,ProfExe,0,0,0,157.0097747,0,28,47.41522866
0,28116,33450,Other,0,1,0,15.39658739,9,7,30.0170133
0,,64910,,,,,,,,33.85046122
0,,69172,Office,1,0,0,48.85366706,0,3,38.77368596
0,,36385,Other,2,0,0,266.5533944,1,25,43.30976454
0,,41119,Other,2,0,0,261.4052186,0,26,42.19194156
0,75000,90543,Mgr,18,0,0,300.4872058,1,23,38.94057536
0,79296,86885,Mgr,19,0,1,307.9748816,1,23,39.95910877
1,27791,46833,Mgr,3,0,0,83.28906275,1,13,30.18780539
0,172595,250155,Sales,,0,0,126.4009836,0,21,43.20775979
0,,34704,,,,,,,,34.17405555
0,,73804,Office,1,0,0,71.76655716,0,4,41.28742339
0,46595,58191,Other,5,0,0,80.13174641,0,17,24.14015367
1,,28000,Self,1,2,1,36.76666667,1,8,
0,70973,77989,Other,7,0,0,120.3794143,0,24,41.44250046
1,,33100,Other,,0,0,238.6,1,2,
0,,51189,,1,0,0,,0,0,12.74918065
0,82912,91175,ProfExe,2,,,,,,27.59527352
1,25972,41856,Other,2,0,2,157.9600114,3,27,40.62827818
0,74187,78976,Other,9,0,1,118.442491,0,24,40.11040743
0,,66903,,,,,,,,32.78292683
1,106650,,Mgr,1,0,6,250.5666667,4,23,
0,,69492,,,,,,,,32.97719723
0,95232,115977,Office,22,0,0,149.0229081,1,12,37.95433691
1,47625,85925,Office,0.1,2,1,154.1333333,4,26,
1,24600,30500,Other,4.5,0,1,116.1,8,34,
1,65000,94355,Other,26,1,3,69.3,1,34,
1,,,Office,13,,2,122.7666667,,23,
1,33600,,Other,2,0,0,140.9333333,1,20,
1,42000,58305,Other,19,0,0,90,2,13,
1,32446,54904,Other,2,0,0,51.73333333,1,9,
1,9660,35900,Other,8,0,1,136.3,3,6,
1,22859,32200,Other,4,0,0,83.33333333,3,20,
1,16878,25850,Mgr,1,0,1,218.6,5,34,
0,72951,80000,Other,22.8,0,0,343.9,1,47,
0,43000,57460,Other,1.6,1,,101.5,,13,
0,53500,64790,Other,0.1,0,2,105.4,3,18,
0,69876,94394.07,Other,0,0,1,179.5666667,0,32,
0,51000,86125,ProfExe,6,0,0,222.1666667,2,24,
0,53227,68700,Mgr,3,0,2,122.7333333,0,23,
0,,43300,Other,,,,100.9333333,,9,
0,14000,61493,Office,23,0,0,321.6333333,1,13,
1,40000,54600,ProfExe,4,0,4,101.4,0,19,
1,18793,27750,Mgr,6,0,3,119.7,0,8,
1,179397,200000,ProfExe,5,6,0,90.3,6,29,
1,,95500,Mgr,6,1,2,129.9,1,22,
0,79046,103048,Other,0,0,0,181.696538,0,32,37.28998992
0,,53190,,0,0,0,,0,0,15.174415
1,,43683,Other,,,,,,,21.93549881
0,129731,154113,ProfExe,12,0,0,213.5333333,0,19,
0,48500,62500,Mgr,7,,4,111.3,2,11,
0,,47400,,,,,,,,
0,91704,114799,Office,22,0,0,129.2500896,1,12,36.74676624
0,47604,54966,Other,5,0,0,70.69532973,0,18,24.76674453
0,,35250,Other,,,,303,,12,
1,62751,95617,Other,1,0,0,138.6468632,1,13,31.75727069
0,48300,53388,Office,9,,,178.4896022,,19,26.72002818
0,68743,65321,Sales,3,1,0,153.0667831,0,22,40.15052706
0,79636,87276,Other,20,0,0,350.4361376,0,47,28.84827658
0,,46830,,0,0,1,,0,0,13.30601308
0,78753,95433,ProfExe,0,,,,,,28.92511742
0,77265,97944,ProfExe,0,,,,,,28.87646306
0,75657,84368,Sales,4,0,0,122.244945,0,30,32.55254334
0,171582,245730,Sales,,0,0,135.1089303,0,22,39.78381813
0,,33909,,,,,,,,34.51740452
0,46601,59486,Other,5,0,0,84.63211066,0,18,25.35001036
0,60354,87596,ProfExe,5,0,0,210.1730647,2,23,34.05481124
0,45356,82054,,2,0,0,201.3344875,4,29,29.66171016
0,,41657,Other,,,,293.9587236,,11,30.19763073
1,,,Self,3,,,80.5,2,17,
0,,80078,,,,,,,,25.37554416
1,42100,57385,Other,8.5,0,1,164.8,1,28,
0,70793,71552,Sales,3,2,0,162.9451569,0,23,40.31539659
0,73881,98550,Other,0,0,1,182.8787798,0,31,37.19944569
0,45787,64854,,4,,1,63.11702323,,16,36.53874734
0,75121,96462,ProfExe,0,,,,,,27.16765596
0,,51732,,,,,,,,12.32470709
0,133882,155222,ProfExe,9,0,0,212.5376432,0,19,20.61678366
0,75623,89634,Other,24,0,0,324.6868294,0,47,28.2855321
0,45564,61956,Other,2,0,,101.1670603,,13,38.67514015
0,99469,116260,Office,23,0,0,124.7455955,1,12,35.64227011
0,55000,69000,ProfExe,13,0,0,130.0666667,0,20,
0,,72890,Office,1,0,0,41.25011359,0,3,39.19806822
0,44226,57779,,7,,0,63.62641325,,16,33.11182911
0,,39050,Other,,,,294.4780476,,12,31.44775041
0,78724,80355,Other,24,0,0,335.0741426,1,46,31.1772613
1,59793,98314,Self,2.2,0,0,120.7333333,0,8,
1,65875,76000,Mgr,0.8,2,0,84,1,12,
0,45582,89005,,2,0,0,209.3580469,4,30,29.59595551
0,92659,117352,ProfExe,6,0,0,199.0119272,0,27,26.52004952
0,58052,70091,ProfExe,9,0,4,153.7804385,1,30,21.71959598
0,49498,64296,Mgr,6,,4,111.2065132,1,10,38.57713194
0,79667,96988,ProfExe,1,,,,,,29.83596072
1,12476,32559,Office,12,3,6,227.1299051,0,23,23.31951678
0,69357,73726,Sales,3,2,0,163.2839332,1,22,42.40781425
0,26655,29792,Other,1,1,0,12.75926745,10,6,28.36185178
1,25144,45200,Other,25,0,2,128,4,17,
0,99131,125652,Other,8,,,419.3751538,1,50,42.24492757
0,76577,83200,,5,,,,,,22.05503421
0,47251,58157,Other,0,0,,104.7924684,,13,36.41688697
0,53476,70157,ProfExe,7,0,3,164.3154099,1,30,21.13798157
0,81116,86148,ProfExe,8,0,0,262.1754261,0,11,42.06826818
0,17491,63614,Office,23,0,0,325.2993087,0,12,40.24440437
0,65215,74332,Mgr,9,,1,213.8321032,0,24,40.64461955
0,62746,75016,ProfExe,12,0,0,133.1015478,0,20,40.18812313
0,76732,78084,Other,8,0,0,109.1930214,0,26,37.96455432
0,70035,78635,Sales,3,0,0,147.0771635,0,31,31.20612976
0,39687,51666,Office,9,,,177.591354,,19,26.1209597
0,51436,91284,,4,0,0,209.6428984,2,30,31.97197121
0,44968,62747,Other,0,1,,101.3914453,,12,36.60294734
0,9113,46351,Self,,0,0,202.2507958,0,11,45.11431939
0,28041,33438,Other,1,1,0,10.42564285,10,6,29.75370028
0,57887,74776,Mgr,3,0,1,126.3286437,0,22,28.75634543
0,47949,53102,Office,9,,,180.8412499,,19,27.83900666
0,,37448,Other,,,,333.2308999,,11,29.01198058
1,60054,70434,Other,1,0,0,127.0627016,2,21,37.80035293
0,80739,97630,ProfExe,1,,,,,,30.53126454
0,63144,76754,Mgr,2,0,2,129.0777116,0,23,29.05543313
0,33639,37345,ProfExe,11,0,0,191.0756559,0,13,24.22731934
0,78741,90599,ProfExe,0,,,,,,29.19886067
0,51724,87770,,4,0,0,209.3263116,4,29,30.3434486
1,13600,,Other,14,2,5,115.3666667,1,16,
1,48000,61000,Other,1,1,0,97.2997561,6,38,
1,65000,80400,Other,15,0,0,224.8666667,0,13,
0,22789,35836,Office,1,0,0,110.5666667,2,30,
0,75113,115900,Office,29,0,0,332.7333333,2,38,
0,55000,88300,Office,29,0,0,234.4,1,17,
0,60000,70000,ProfExe,9,0,0,54.76666667,2,24,
0,70300,107500,Office,1,0,0,242.4666667,1,38,
1,96314,105800,ProfExe,27,0,0,475.8,2,40,
0,81145,117530,Office,29,0,0,327.2006385,1,38,34.34583769
0,,70886,,,,,,,,23.47088075
1,183860,208910,ProfExe,4,6,0,86.45222694,6,29,69.8005248
0,58689,72557,Other,0,0,1,94.00805286,2,18,34.89841307
0,62380,89742,Office,31,0,0,232.5272907,0,16,26.16049489
0,74376,84855,,3,,,,,,20.02835351
0,,48800,,0,0,0,,0,0,12.21943615
0,68733,81973,Other,5,0,0,96.9776672,0,14,42.21104678
0,40926,50486,Office,10,,,179.8008681,,19,27.53237611
0,95450,112630,Office,23,0,0,122.8155841,0,12,36.77345872
0,,46516,,0,0,0,,0,0,14.84599073
0,98415,126636,Other,11,,,423.2096241,2,49,40.95709032
0,,55396,,,,,,,,15.70399156
0,55113,56486,Other,4,0,0,84.41703046,0,17,23.64285383
1,60301,70543,ProfExe,5,0,0,195.7808633,0,19,32.39759341
0,,30544,Other,2,0,0,283.8972313,0,14,24.12045156
0,49367,59609,Other,6,0,0,99.30370078,0,17,25.23136638
0,58741,68225,ProfExe,9,0,3,173.5744163,1,31,23.58701323
1,27510,42495,Other,2,0,2,171.5264892,3,27,41.42859751
1,,81239,Other,19,,,,,,40.8949317
0,69773,83014,Other,0,1,0,263.1734343,0,5,37.70699649
0,51855,58084,Office,21,0,0,193.7547457,0,19,19.5495717
0,48430,64358,Other,0,1,,108.3517475,,13,38.89419475
0,29662,36195,Office,1,0,0,112.1370807,1,30,38.52863281
0,66587,70710,ProfExe,9,1,0,43.92338263,1,24,39.73857627
1,,20631,Mgr,4,0,0,174.7218341,1,8,62.24645112
0,54161,59714,Office,20,0,0,209.2063004,0,20,20.20351771
0,134616,155034,ProfExe,13,1,0,215.4224064,0,19,19.49387198
0,136951,160306,ProfExe,11,0,0,219.7356734,1,18,20.8850935
0,138691,160063,ProfExe,12,0,0,208.420843,0,19,19.33336736
0,49809,65074,Mgr,7,,4,116.6327333,3,10,39.21502891
0,78292,86959,,3,,,,,,18.92721164
0,139578,154602,ProfExe,12,0,0,201.9608343,0,18,22.32582879
0,57439,74816,Mgr,2,0,2,126.3032351,0,22,27.11865353
0,76074,88178,Other,22,0,0,341.4650556,0,46,27.52324614
1,31000,42000,Mgr,3.5,1,0,106.2666667,2,26,
0,45150,57150,Office,4,0,1,94.33333333,3,12,
0,56155,57912,Office,21,0,0,206.3063213,0,20,21.79851308
1,,27410,Mgr,6,1,0,2.033333333,1,5,
0,178559,247611,Sales,,0,0,127.2341411,0,22,42.08390168
0,,72310,Office,1,0,0,48.81883648,0,3,40.78739323
0,71666,99913,Other,0,0,1,196.4649989,0,31,35.76160473
0,75964,88754,Mgr,19,0,1,298.7004822,0,23,39.10750164
0,75880,113612,Office,1,0,0,230.8055881,1,38,17.96588344
0,70717,87466,Other,2,0,0,112.5890607,0,15,41.4280899
0,53776,51952,Other,5,0,0,87.90011834,0,17,22.28699748
1,53328,58088,Sales,2,0,0,101.5319079,0,21,35.76405836
1,5816,,Mgr,23,0,2,67.8,1,18,
1,57257,63752,Other,10,2,0,138.234778,0,22,38.37246088
1,37055,83000,Sales,1,0,0,122.2666667,2,43,
0,97662,110046,Office,24,0,0,111.1233973,0,11,37.25315085
0,49000,68280,Other,1,0,0,61.9,8,22,
0,,57067,,,,,,,,14.37098595
0,50387,68443,Mgr,7,,3,105.827329,2,10,40.71766885
0,49932,66042,Office,20,0,0,204.4845828,0,19,21.85549413
0,51384,84689,,4,0,0,224.2470369,3,29,30.52615072
0,,36191,Other,,,,311.8698993,,12,30.79062077
0,98779,124827,Other,9,,,421.541928,1,49,40.82887293
