idx,DEFAULT,OUTSTANDING MORTGAGE,PROPERTY VALUE,JOB,YEARS AT JOB,DEROGATORY REPORTS,DELINQUENT CREDIT LINES,OLDEST CREDIT (MONTHS),RECENT CREDIT ENQUIRIES,CREDIT LINES,DEBTINC,LTV RATIO
27,1,15000.0,20200.0,,18.0,0.0,0.0,136.0666667,1.0,19.0,,0.7425742574257426
28,1,25116.0,36350.0,Other,10.0,1.0,2.0,276.9666667,0.0,9.0,,0.690949105914718
29,0,7229.0,44516.0,Self,,0.0,0.0,208.0,0.0,12.0,,0.16239105040884177
30,0,71408.0,78600.0,ProfExe,8.0,0.0,0.0,255.7333333,0.0,12.0,,0.908498727735369
31,1,50795.0,63100.0,Self,26.0,2.0,15.0,145.6333333,3.0,45.0,,0.8049920760697306
32,1,4000.0,60850.0,Other,16.0,4.0,0.0,112.6333333,2.0,9.0,,0.0657354149548069
33,1,78600.0,113000.0,ProfExe,6.0,1.0,0.0,165.3333333,2.0,26.0,,0.695575221238938
34,0,103949.0,112505.0,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629,0.9239500466645927
35,0,104373.0,120702.0,Office,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903,0.8647164090073073
36,1,7750.0,67996.0,Other,16.0,3.0,0.0,122.2046628,2.0,8.0,36.211348,0.11397729278192835
37,1,61962.0,70915.0,Mgr,2.0,0.0,0.0,282.8016592,3.0,37.0,49.20639579,0.8737502644010435
38,0,104570.0,121729.0,Office,2.0,0.0,0.0,85.8843719,0.0,14.0,32.05978327,0.8590393414880595
39,1,7000.0,20300.0,Other,3.0,0.0,0.0,50.8,5.0,9.0,,0.3448275862068966
40,1,,8800.0,Other,2.0,0.0,1.0,77.76666667,0.0,3.0,,
41,1,,33000.0,Other,1.0,0.0,1.0,23.3,1.0,2.0,,
42,1,119826.0,193500.0,Other,8.0,0.0,0.0,130.0333585,0.0,27.0,,0.6192558139534884
43,1,20000.0,29750.0,Other,2.0,0.0,0.0,187.0666667,0.0,12.0,,0.6722689075630253
44,1,,14500.0,Other,3.0,0.0,0.0,9.3,14.0,2.0,,
45,1,,14100.0,Other,1.0,0.0,0.0,104.2,0.0,19.0,,
46,1,47000.0,82700.0,ProfExe,10.0,0.0,1.0,262.1666667,5.0,26.0,,0.5683192261185006
47,1,34542.0,45900.0,Mgr,8.5,0.0,2.0,62.36666667,0.0,10.0,,0.7525490196078432
48,0,58000.0,71500.0,Mgr,10.0,,2.0,211.9333333,0.0,25.0,,0.8111888111888111
49,0,47000.0,56400.0,Office,21.0,0.0,0.0,201.8666667,0.0,20.0,,0.8333333333333334
50,1,39589.0,36100.0,Other,1.5,0.0,0.0,153.1666667,1.0,14.0,,1.0966481994459834
51,0,,70400.0,,,,,,,,,
52,0,67848.0,74566.0,Mgr,10.0,,1.0,206.4266021,0.0,25.0,40.11567728,0.9099053187779953
53,1,48603.0,61000.0,ProfExe,28.0,0.0,4.0,122.0333333,1.0,25.0,,0.7967704918032786
54,1,27200.0,40834.0,Other,,0.0,0.0,298.131564,0.0,7.0,35.55353879,0.6661115736885929
55,1,54000.0,64850.0,Other,1.0,0.0,0.0,121.8666667,3.0,21.0,,0.8326908249807248
56,0,74864.0,87266.0,ProfExe,7.0,0.0,0.0,250.6312692,0.0,12.0,42.90999735,0.8578827951321247
57,1,23159.0,,Mgr,20.0,,2.0,117.8057478,0.0,9.0,0.5244992154,
58,1,126541.0,134527.0,Sales,9.0,1.0,0.0,139.0,0.0,36.0,,0.9406364521620195
59,1,130518.0,164317.0,Other,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919,0.7943061277895774
60,1,37000.0,52000.0,Office,2.0,0.0,1.0,183.2999156,0.0,6.0,,0.7115384615384616
61,1,23200.0,38666.0,Other,11.0,0.0,0.0,162.3666667,0.0,14.0,,0.6000103450059484
62,1,19400.0,20494.0,Other,5.0,0.0,0.0,95.93333333,0.0,9.0,,0.9466185224943886
63,1,61584.0,61800.0,ProfExe,10.0,,,,,,,0.996504854368932
64,1,41900.0,52490.0,Mgr,3.0,0.0,0.0,72.03333333,2.0,4.0,,0.7982472851971805
65,0,83700.0,111800.0,ProfExe,6.0,0.0,0.0,192.7333333,1.0,28.0,,0.7486583184257602
66,0,61327.0,76484.0,Mgr,9.0,,2.0,202.5107752,0.0,25.0,41.5163897,0.8018278332723184
67,0,100693.0,114743.0,Office,6.0,0.0,0.0,88.47045214,0.0,14.0,29.39354338,0.8775524432863007
68,1,48507.0,61000.0,Office,13.0,1.0,4.0,97.4,0.0,17.0,,0.7951967213114755
69,0,52337.0,63989.0,Office,20.0,0.0,0.0,204.2724988,0.0,20.0,20.47091551,0.8179062026285768
70,1,17857.0,21144.0,Other,5.0,0.0,0.0,129.7173231,1.0,9.0,26.63434752,0.8445421869088158
71,1,19135.0,97692.0,Mgr,1.6,1.0,6.0,252.6333333,1.0,25.0,,0.19587069565573434
72,0,51180.0,63459.0,Office,20.0,0.0,0.0,203.7515336,0.0,20.0,20.06704205,0.8065049874722262
73,0,,73189.0,,,,,,,,22.25394916,
74,0,11543.0,46045.0,Self,,0.0,0.0,204.6479917,0.0,11.0,42.17316588,0.2506895428385275
75,1,29896.0,45960.0,Other,11.0,0.0,0.0,146.1232422,0.0,14.0,24.47888119,0.6504786771105309
76,1,14500.0,22092.0,Other,3.5,0.0,1.0,150.3,5.0,8.0,,0.6563461886655803
77,0,52825.0,63000.0,ProfExe,8.0,0.0,4.0,171.6666667,1.0,31.0,,0.8384920634920635
78,0,102143.0,118742.0,Office,2.0,0.0,0.0,85.27736558,0.0,13.0,29.34392109,0.8602095299051725
79,1,21200.0,39000.0,Mgr,4.0,0.0,1.0,86.56666667,2.0,14.0,,0.5435897435897435
80,0,105164.0,112774.0,Office,1.0,0.0,0.0,94.72487417,0.0,13.0,29.39092806,0.9325199070707787
81,0,54543.0,61777.0,Office,21.0,0.0,0.0,205.58668,0.0,19.0,21.80656346,0.8829014034349353
82,1,,80609.0,Other,1.5,0.0,2.0,126.5333333,3.0,12.0,,
83,1,26572.0,31960.0,Office,11.0,0.0,0.0,117.7951039,0.0,8.0,41.28649195,0.8314142678347934
84,1,17000.0,52012.0,ProfExe,22.0,3.0,1.0,85.33333333,1.0,9.0,,0.32684765054218257
85,1,29562.0,37200.0,Other,6.0,0.0,0.0,92.13333333,1.0,26.0,,0.7946774193548387
86,1,41700.0,76725.0,Other,0.5,0.0,3.0,136.1333333,0.0,15.0,,0.5434995112414467
87,1,58000.0,69440.0,Other,3.5,0.0,1.0,168.6666667,0.0,18.0,,0.8352534562211982
88,1,5700.0,18000.0,Other,,0.0,0.0,12.2,0.0,17.0,,0.31666666666666665
89,1,45000.0,58350.0,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,,0.7712082262210797
90,1,7000.0,16020.0,Other,18.0,0.0,1.0,85.8,2.0,23.0,,0.4369538077403246
91,0,66000.0,79050.0,Other,1.8,2.0,0.0,279.0,1.0,6.0,,0.8349146110056926
92,0,,45760.0,,0.0,0.0,0.0,,0.0,0.0,,
93,0,62000.0,78000.0,Other,4.0,0.0,0.0,109.5666667,0.0,15.0,,0.7948717948717948
94,0,64240.0,63990.0,Sales,5.0,2.0,0.0,160.3,1.0,23.0,,1.0039068604469448
95,1,74000.0,93000.0,ProfExe,2.6,1.0,3.0,186.6333333,,9.0,,0.7956989247311828
96,1,55000.0,59000.0,Other,12.0,2.0,0.0,146.1,0.0,22.0,,0.9322033898305084
97,0,67625.0,80698.0,Mgr,11.0,,1.0,212.3493039,0.0,25.0,39.12871763,0.8380009417829438
98,0,67533.0,71865.0,Mgr,10.0,,2.0,227.7929884,0.0,25.0,39.1663287,0.9397203089125443
99,1,,19132.0,Other,0.0,0.0,0.0,100.7746522,0.0,19.0,33.8409199,
100,1,58500.0,65000.0,Other,8.0,1.0,2.0,63.93333333,2.0,15.0,,0.9
101,0,57992.0,63797.0,ProfExe,7.0,0.0,4.0,165.505037,1.0,31.0,22.27817437,0.9090082605765162
102,0,56544.0,59218.0,Office,19.0,0.0,0.0,211.0025991,1.0,20.0,19.02770443,0.9548448106994495
103,1,34800.0,50225.0,Other,2.0,1.0,0.0,93.5,1.0,5.0,,0.692882030861125
104,0,67700.0,77000.0,Sales,4.0,0.0,0.0,128.8333333,0.0,31.0,,0.8792207792207792
105,0,44000.0,55085.0,,6.0,,1.0,75.43333333,,16.0,,0.798765544159027
106,0,66272.0,82953.0,Other,3.0,0.0,0.0,110.2786626,0.0,15.0,43.45058791,0.7989102262727087
107,0,50216.0,58541.0,Office,19.0,0.0,0.0,209.8713022,0.0,19.0,20.20803267,0.8577919748552296
108,0,71206.0,78698.0,Sales,3.0,0.0,0.0,129.932869,0.0,31.0,34.18137652,0.9048006302574398
109,0,68815.0,79852.0,Other,6.0,0.0,0.0,105.1207088,0.0,14.0,41.80637615,0.861781796323198
110,0,72021.0,80027.0,Other,2.0,2.0,0.0,263.9703003,0.0,5.0,36.43209394,0.899958763917178
111,0,53969.0,63869.0,ProfExe,7.0,0.0,3.0,162.3900107,0.0,30.0,23.58107924,0.8449952246003538
112,0,,60250.0,,,,,,,,,
113,1,53091.0,64074.0,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.15808483,0.8285888191778257
114,0,66127.0,79087.0,Other,4.0,1.0,0.0,81.3490651,0.0,15.0,40.70530876,0.8361298317043256
115,0,,77182.0,,,,,,,,25.2272529,
116,1,39000.0,66000.0,Other,1.0,0.0,0.0,170.3666667,1.0,19.0,,0.5909090909090909
117,0,71082.0,79247.0,Other,4.0,0.0,0.0,118.7604101,0.0,14.0,41.42111052,0.8969677085567908
118,0,,49044.0,,0.0,0.0,0.0,,0.0,0.0,11.6527388,
119,1,57000.0,,Other,5.0,,,222.6,1.0,13.0,,
120,1,34184.0,46000.0,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,,0.7431304347826087
121,1,66517.0,87000.0,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,,0.7645632183908045
122,0,45500.0,50000.0,Other,6.0,0.0,0.0,86.16666667,0.0,18.0,,0.91
123,1,118000.0,146870.0,ProfExe,4.5,2.0,0.0,203.8666667,1.0,20.0,,0.8034316061823381
124,1,90000.0,105800.0,Other,6.0,2.0,3.0,80.1,3.0,10.0,,0.8506616257088847
125,0,67913.0,97205.0,Mgr,2.0,0.0,0.0,142.8243915,0.0,24.0,35.22699719,0.69865747646726
126,0,71855.0,88566.0,Other,2.0,2.0,0.0,283.9595381,0.0,5.0,36.47547328,0.8113158548427162
127,0,53918.0,59511.0,,6.0,,0.0,54.13647743,,15.0,34.41650781,0.9060173749390869
128,1,49100.0,58238.0,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,,0.8430921391531303
129,0,88026.0,115506.0,ProfExe,6.0,0.0,0.0,182.2483316,0.0,27.0,29.20902258,0.7620902810243624
130,1,26900.0,45000.0,ProfExe,9.0,1.0,2.0,90.46666667,1.0,16.0,,0.5977777777777777
131,0,67317.0,97191.0,Mgr,3.0,0.0,0.0,137.3197248,0.0,23.0,34.27529378,0.6926258604191746
132,0,56067.0,63102.0,ProfExe,9.0,0.0,3.0,160.1463113,1.0,30.0,21.58376012,0.8885138347437482
133,0,80482.0,88342.0,ProfExe,7.0,0.0,0.0,275.0323948,0.0,11.0,43.71763511,0.9110275972923412
134,0,58688.0,63348.0,ProfExe,9.0,0.0,3.0,179.1625747,2.0,31.0,22.54439284,0.9264380880217213
135,0,65873.0,90408.0,Mgr,2.0,0.0,0.0,141.858999,0.0,23.0,37.76961861,0.7286191487478985
136,1,25597.0,23031.0,Other,5.0,0.0,0.0,101.7467664,0.0,8.0,33.24315698,1.1114150492814032
137,0,67794.0,84630.0,Other,4.0,0.0,0.0,112.5734189,0.0,15.0,41.67399636,0.8010634526763559
138,1,44000.0,59745.0,Other,10.0,0.0,0.0,81.5,3.0,13.0,,0.7364633023683991
139,0,,28437.5,,,,,,,,,
140,0,170986.0,245300.0,Sales,,0.0,0.0,131.9333333,0.0,22.0,,0.6970485120260905
141,1,65576.0,65774.0,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.59091002,0.9969896919755526
142,0,57461.0,68494.0,ProfExe,8.0,0.0,4.0,183.6356132,0.0,30.0,22.79542355,0.8389201973895524
143,0,,69706.0,,,,,,,,33.70558774,
144,0,,34846.0,,,,,,,,33.35465263,
145,0,47479.0,61690.0,,5.0,,0.0,65.03296901,,16.0,36.69941492,0.7696385151564273
146,0,66839.0,87168.0,Other,4.0,0.0,0.0,122.5972226,0.0,15.0,40.61677935,0.7667836820851689
147,0,12457.0,53448.0,Self,,0.0,0.0,207.1434813,0.0,12.0,44.10795169,0.23306765454273312
148,0,90059.0,113714.0,ProfExe,7.0,0.0,0.0,193.6364469,0.0,28.0,25.89731648,0.7919781205480416
149,1,22320.0,34900.0,Other,10.0,0.0,0.0,65.7,1.0,5.0,,0.639541547277937
150,1,40000.0,70500.0,Mgr,0.4,0.0,0.0,61.76666667,2.0,8.0,,0.5673758865248227
151,1,100882.0,102700.0,Mgr,5.0,0.0,1.0,58.86666667,0.0,16.0,,0.9822979552093476
152,1,31000.0,47350.0,ProfExe,12.0,,,,,,,0.6546990496304118
153,1,63125.0,126500.0,Office,3.0,0.0,0.0,100.3,0.0,14.0,,0.4990118577075099
154,1,100000.0,129693.5,Mgr,13.0,,,,,,,0.7710486647364748
155,1,,132000.0,Other,17.5,0.0,2.0,121.9,0.0,14.0,,
156,1,,9100.0,Other,1.0,0.0,0.0,54.73333333,2.0,8.0,,
157,1,34200.0,50830.0,Other,6.0,0.0,0.0,57.0,1.0,9.0,,0.6728310053118237
158,1,,71277.0,Other,10.0,0.0,0.0,72.43333333,1.0,12.0,,
159,1,123000.0,157500.0,Mgr,9.0,,,,,,,0.780952380952381
160,1,16600.0,25250.0,Other,6.0,0.0,0.0,88.7,1.0,3.0,,0.6574257425742575
161,1,,52000.0,Other,,0.0,1.0,285.3333333,0.0,6.0,,
162,1,22700.0,34225.0,Other,4.0,0.0,0.0,74.63333333,3.0,9.0,,0.6632578524470416
163,1,6000.0,38575.0,Self,7.0,0.0,1.0,335.0333333,3.0,42.0,,0.15554115359688916
164,1,,74500.0,Other,19.0,,,,,,,
165,1,,94119.0,Other,19.0,,,,,,,
166,0,73126.0,87500.0,Other,1.0,0.0,0.0,125.9666667,2.0,10.0,,0.8357257142857143
167,0,72517.0,86250.0,Mgr,19.0,0.0,1.0,300.3666667,1.0,24.0,,0.8407768115942029
168,0,26037.0,35000.0,ProfExe,12.0,0.0,0.0,182.6333333,0.0,13.0,,0.7439142857142858
169,0,39000.0,50340.0,Office,10.0,,,179.8333333,,19.0,,0.7747318235995232
170,0,,26550.0,Other,1.7,0.0,0.0,276.9666667,1.0,14.0,,
171,0,70470.0,77908.0,,5.0,,,,,,,0.9045284181342096
172,0,,36375.0,Other,3.0,0.0,0.0,266.8,1.0,26.0,,
173,0,74225.0,89640.0,ProfExe,0.3,,,,,,,0.8280343596608657
174,0,,65400.0,Office,1.5,0.0,0.0,51.76666667,0.0,4.0,,
175,1,,37500.0,Other,,0.0,3.0,107.1333333,10.0,5.0,,
176,0,78565.0,98500.0,ProfExe,24.0,0.0,0.0,51.76666667,3.0,14.0,,0.7976142131979695
177,0,59900.0,80800.0,ProfExe,15.0,0.0,0.0,219.1333333,1.0,18.0,,0.7413366336633663
178,1,10171.0,26809.0,Office,13.0,3.0,6.0,228.3,0.0,24.0,,0.37938751911671453
179,1,78893.0,82600.0,Mgr,16.0,0.0,0.0,133.9,1.0,34.0,,0.9551210653753026
180,1,85165.0,107940.0,Mgr,6.0,5.0,3.0,122.7666667,5.0,28.0,,0.7890031498980915
181,1,68000.0,75616.0,ProfExe,0.1,0.0,0.0,131.8666667,0.0,30.0,,0.8992805755395683
182,1,71571.0,85100.0,ProfExe,1.4,0.0,1.0,82.13333333,0.0,13.0,,0.8410223266745006
183,1,28000.0,36810.0,Other,2.0,1.0,0.0,222.2,1.0,6.0,,0.7606628633523499
184,1,40000.0,32480.0,Other,8.0,3.0,2.0,163.3666667,1.0,16.0,,1.2315270935960592
185,1,81748.0,,ProfExe,14.0,1.0,2.0,144.0666667,2.0,17.0,,
186,0,44674.0,59375.0,Office,10.0,,,178.6925087,,19.0,26.44819746,0.7524042105263158
187,1,61999.0,75021.3,Other,5.0,0.0,0.0,97.1,0.0,23.0,,0.8264186304422877
188,0,80153.0,97275.0,Other,1.0,0.0,0.0,120.6750632,2.0,10.0,37.51270841,0.8239835517861732
189,0,68739.0,93435.0,Mgr,3.0,0.0,0.0,148.7204047,0.0,23.0,36.66927861,0.7356879113822443
190,0,51209.0,55320.0,,5.0,,1.0,69.1074656,,15.0,35.02507297,0.9256869125090383
191,1,46696.0,85202.0,Other,2.0,1.0,2.0,148.3406455,0.0,14.0,46.489874,0.5480622520598109
192,0,,46281.0,Other,2.0,0.0,0.0,257.6522064,0.0,26.0,40.95258888,
193,0,66435.0,82819.0,Other,2.0,0.0,0.0,125.1306256,0.0,14.0,42.18353867,0.8021709994083484
194,0,179725.0,251962.0,Sales,,0.0,0.0,127.4988134,0.0,22.0,40.30825936,0.7133020058580262
195,0,85583.0,115341.0,ProfExe,7.0,0.0,0.0,177.9582551,1.0,28.0,26.25797013,0.7419998092612341
196,0,72891.0,80691.0,Other,1.0,1.0,0.0,273.8817052,0.0,6.0,39.85214652,0.903334944417593
197,1,30755.0,46735.0,Other,10.0,0.0,0.0,69.0,0.0,17.0,,0.6580721086979779
198,0,,26715.0,Other,1.0,0.0,0.0,258.7892976,0.0,14.0,26.72234334,
199,0,87258.0,121382.0,ProfExe,6.0,0.0,0.0,181.6630402,0.0,28.0,25.44475915,0.7188710022902901
200,0,,28291.0,Other,2.0,0.0,0.0,277.9445608,1.0,14.0,23.64469128,
201,1,9900.0,30451.0,Other,11.0,0.0,0.0,21.2,0.0,2.0,,0.3251124757807625
202,0,93000.0,116875.0,Other,10.0,,,417.6333333,2.0,50.0,,0.7957219251336899
203,1,15500.0,34000.0,Other,0.0,1.0,2.0,86.23333333,2.0,13.0,,0.45588235294117646
204,1,129319.0,141875.0,Sales,7.0,1.0,0.0,157.8598021,0.0,36.0,25.65074122,0.9114995594713656
205,0,66834.0,87361.0,Other,0.0,2.0,0.0,290.034108,0.0,6.0,38.76698507,0.7650324515516077
206,0,73882.0,96031.0,Other,0.0,0.0,0.0,125.7874001,1.0,10.0,34.44607922,0.7693557288792161
207,0,74071.0,97064.0,Other,0.0,0.0,0.0,121.0759726,2.0,9.0,36.40172955,0.7631150581059919
208,0,62702.0,79784.0,Other,2.0,0.0,0.0,108.0725908,0.0,15.0,43.29013982,0.7858969216885591
209,0,,36425.0,Other,2.0,0.0,0.0,266.8134646,1.0,14.0,23.79740106,
210,0,67000.0,77000.0,Other,9.0,0.0,1.0,119.7,0.0,25.0,,0.8701298701298701
211,0,43039.0,53521.0,Office,11.0,,,184.2966873,,19.0,24.41476318,0.8041516414117823
212,0,19000.0,26000.0,Other,0.0,1.0,0.0,17.2,10.0,7.0,,0.7307692307692307
213,1,,9500.0,Other,1.0,0.0,1.0,81.1,1.0,2.0,,
214,0,91250.0,110000.0,Office,24.0,0.0,0.0,123.7666667,1.0,12.0,,0.8295454545454546
215,0,16324.0,45187.0,Self,,0.0,0.0,221.1180817,0.0,11.0,42.71209384,0.3612543430632704
216,1,40564.0,39527.0,Other,0.0,0.0,0.0,157.7710357,1.0,13.0,72.67043331,1.0262352316138337
217,0,73698.0,84427.0,,4.0,,,,,,19.13120118,0.8729198005377427
218,0,66987.0,65111.0,Sales,4.0,1.0,0.0,175.3287038,1.0,22.0,40.44257039,1.0288123358572285
219,1,26908.0,36078.0,Other,,0.0,0.0,302.3587095,0.0,8.0,39.1969854,0.7458284827318588
220,0,,49396.0,,0.0,0.0,0.0,,0.0,0.0,12.04367058,
221,0,44993.0,50673.0,Office,7.0,,,184.7427672,,18.0,27.90612273,0.8879087482485742
222,1,51000.0,64000.0,Mgr,10.0,1.0,0.0,98.33333333,0.0,12.0,,0.796875
223,0,75958.0,91703.0,Other,0.0,0.0,0.0,124.1821788,1.0,10.0,34.59906019,0.8283044175217823
224,0,97132.0,117343.0,Office,22.0,0.0,0.0,109.9339079,1.0,11.0,35.8385427,0.8277613492070256
225,0,60826.0,80826.0,Mgr,10.0,,1.0,212.8917461,0.0,25.0,38.59149403,0.7525548709573652
226,0,83552.0,96809.0,ProfExe,0.0,,,,,,28.42396191,0.8630602526624591
227,0,47449.0,63895.0,Office,19.0,0.0,0.0,208.162714,0.0,20.0,19.7621137,0.742608967837859
228,0,50934.0,62957.0,Office,21.0,0.0,0.0,197.2419573,0.0,20.0,19.35050563,0.8090283844528805
229,0,53429.0,64505.0,,5.0,,0.0,69.54243011,,16.0,36.4802363,0.8282923804356251
230,0,,65474.0,Office,1.0,0.0,0.0,40.709849,0.0,4.0,37.84877104,
231,0,47844.0,52040.0,Office,8.0,,,189.0343046,,18.0,24.70113626,0.919369715603382
232,1,45509.0,57453.0,Sales,4.0,0.0,0.0,95.6,0.0,22.0,,0.7921083320279185
233,1,59720.0,63450.0,ProfExe,5.0,0.0,1.0,199.9,1.0,20.0,,0.9412135539795115
234,0,86922.0,119846.0,ProfExe,5.0,0.0,0.0,185.0763473,1.0,28.0,26.3548893,0.7252807769971463
235,0,68625.0,82304.0,Sales,2.0,0.0,0.0,136.6329442,0.0,30.0,32.05002349,0.8337990863141524
236,0,65814.0,85848.0,Other,4.0,0.0,0.0,122.9402886,0.0,15.0,44.09232568,0.7666340508806262
237,0,,75254.0,,,,,,,,23.16374295,
238,1,78300.0,88000.0,ProfExe,8.0,0.0,0.0,102.5,3.0,19.0,,0.8897727272727273
239,0,48152.0,55760.0,,6.0,,0.0,78.45212577,,16.0,35.763638,0.863558106169297
240,0,70481.0,82446.0,Other,8.0,0.0,1.0,116.5919769,0.0,24.0,37.61268272,0.8548747058680833
241,0,,35402.0,,,,,,,,35.27207374,
242,0,87765.0,101053.0,ProfExe,22.0,0.0,0.0,55.55804904,2.0,13.0,31.37554242,0.8685046460768112
243,0,52897.0,65054.0,Office,20.0,0.0,0.0,189.2953185,0.0,19.0,20.6541289,0.8131244812002336
244,1,24700.0,35675.0,Other,1.0,0.0,3.0,153.9333333,3.0,27.0,,0.6923615977575333
245,1,,43132.0,Other,,,,,,,,
246,0,43486.0,81600.0,,4.0,0.0,0.0,216.1333333,4.0,30.0,,0.5329166666666667
247,1,21359.0,30000.0,Other,7.0,3.0,2.0,130.8,3.0,14.0,,0.7119666666666666
248,1,,13770.0,Mgr,5.0,0.0,1.0,167.3666667,1.0,8.0,,
249,0,93051.0,115374.0,ProfExe,6.0,0.0,0.0,187.0205188,1.0,27.0,27.64674851,0.8065161994903531
250,0,87438.0,116679.0,ProfExe,6.0,0.0,0.0,186.424416,1.0,27.0,28.4175309,0.7493893502686859
251,0,78059.0,78179.0,,5.0,,,,,,20.67931358,0.9984650609498714
252,0,72147.0,69918.0,Sales,4.0,2.0,0.0,158.5344979,0.0,23.0,43.40443024,1.0318802025229554
253,1,40584.0,46645.0,Other,4.0,0.0,1.0,136.3206375,0.0,13.0,34.49470897,0.8700610997963341
254,1,,12972.0,Other,1.0,0.0,1.0,82.29426635,0.0,2.0,36.9867441,
255,1,37368.0,48502.0,Mgr,9.0,0.0,2.0,48.995845,0.0,10.0,33.12648397,0.7704424559811966
256,0,,66251.0,Office,1.0,0.0,0.0,43.72233695,0.0,3.0,41.45204353,
257,0,71644.0,72696.0,Sales,4.0,2.0,0.0,150.8658451,0.0,22.0,40.44256779,0.9855287773742709
258,1,85845.0,122205.0,ProfExe,5.0,0.0,0.0,172.2132767,1.0,26.0,32.67664088,0.7024671658279121
259,0,53793.0,66379.0,Office,22.0,0.0,0.0,206.0991341,0.0,19.0,18.36954053,0.8103918407930218
260,0,69435.0,83489.0,ProfExe,14.0,0.0,0.0,200.418434,1.0,17.0,22.84109285,0.8316664470768604
261,0,29648.0,39907.0,ProfExe,11.0,0.0,0.0,180.5630691,0.0,13.0,21.55494966,0.7429273059864184
262,0,76407.0,77485.0,Other,9.0,0.0,0.0,91.68377063,0.0,24.0,37.77335098,0.9860876298638446
263,1,5000.0,66700.0,Other,31.0,1.0,1.0,204.0666667,0.0,11.0,,0.07496251874062969
264,1,55160.0,86800.0,Other,3.0,1.0,1.0,148.1333333,1.0,14.0,,0.635483870967742
265,0,41439.0,53893.0,Office,8.0,,,181.3229899,,19.0,24.65139574,0.7689124747184235
266,0,15275.0,47954.0,Self,,0.0,0.0,204.335245,0.0,12.0,42.39776964,0.31853442882762645
267,0,100934.0,111496.0,Office,23.0,0.0,0.0,117.4995929,0.0,12.0,38.75056267,0.9052701442204205
268,0,,74685.0,,,,,,,,24.27486528,
