idx,DEFAULT,OUTSTANDING MORTGAGE,PROPERTY VALUE,LTV RATIO,missing_mortgage,missing_property_value,predicted_probability,dataset,LGD,RWA_IRB,EL
72,0,51180.0,63459.0,0.8065049874722262,0,0,0.0118487140684304,Training,0.45,32280.767783942825,272.88773371002054
73,0,50043.06101285201,73189.0,0.6837511239783576,1,0,0.0153725731815692,Training,0.45,37331.780454793676,346.18077794241003
74,0,11543.0,46045.0,0.2506895428385275,0,0,0.1461632969148715,Training,0.45,26998.543196026403,759.2233213297628
77,0,52825.0,63000.0,0.8384920634920635,0,0,0.9302208924641314,Training,0.45,20180.971905547944,22112.513389987984
78,0,102143.0,118742.0,0.8602095299051725,0,0,0.0321424601431243,Training,0.45,119003.84802019427,1477.4072878796155
80,0,105164.0,112774.0,0.9325199070707787,0,0,0.0321424601431243,Training,0.45,122523.52753684256,1521.103355321186
81,0,54543.0,61777.0,0.8829014034349353,0,0,0.0118487140684304,Test,0.45,34401.91319342699,290.8189851454797
91,0,66000.0,79050.0,0.8349146110056926,0,0,0.4659096014844776,Training,0.45,155946.50525753637,13837.515164088984
92,0,31288.451433249644,45760.0,0.6837511239783576,1,0,0.9100018152172472,Training,0.45,15318.89204317286,12812.646419817236
93,0,62000.0,78000.0,0.7948717948717948,0,0,0.5636122783578326,Training,0.45,127592.4989286794,15724.782566183529
94,0,64240.0,63990.0,1.0039068604469448,0,0,0.687848831155855,Training,0.45,100628.64650268212,19884.33401105346
97,0,67625.0,80698.0,0.8380009417829438,0,0,0.0047251656534692,Training,0.45,22795.190030708556,143.7926972921346
98,0,67533.0,71865.0,0.9397203089125443,0,0,0.0229046212271571,Training,0.45,64494.15759200285,696.0680034001201
101,0,57992.0,63797.0,0.9090082605765162,0,0,0.255278537145043,Training,0.45,151775.17588239472,6661.8508167519
102,0,56544.0,59218.0,0.9548448106994495,0,0,0.0267956112757076,Training,0.45,59288.582934188045,681.8089697881247
104,0,67700.0,77000.0,0.8792207792207792,0,0,0.4534831721179381,Training,0.45,162149.0061837947,13815.364838572985
105,0,44000.0,55085.0,0.798765544159027,0,0,0.1821386157630024,Test,0.45,109182.97351719912,3606.344592107447
106,0,66272.0,82953.0,0.7989102262727087,0,0,0.1417125026045784,Training,0.45,153533.872384527,4226.206937674779
107,0,50216.0,58541.0,0.8577919748552296,0,0,0.0118487140684304,Training,0.45,31672.74394369818,267.74776154713544
108,0,71206.0,78698.0,0.9048006302574398,0,0,0.0467042987718078,Training,0.45,101851.06200863513,1496.531834255406
109,0,68815.0,79852.0,0.861781796323198,0,0,0.1417125026045784,Training,0.45,159425.29919334297,4388.375640030328
110,0,72021.0,80027.0,0.899958763917178,0,0,0.048983147398321,Training,0.45,105618.55469723823,1587.5168664485145
111,0,53969.0,63869.0,0.8449952246003538,0,0,0.255278537145043,Validation,0.45,141246.2834045551,6199.7073170313715
112,0,41196.005219696046,60250.0,0.6837511239783576,1,0,0.3777907662127063,Training,0.45,105160.70702187395,7003.561669583228
114,0,66127.0,79087.0,0.8361298317043256,0,0,0.1417125026045784,Training,0.45,153197.94753699328,4216.960196879831
115,0,52773.2792508976,77182.0,0.6837511239783576,1,0,0.0153725731815692,Validation,0.45,39368.50454387798,365.0674937921148
117,0,71082.0,79247.0,0.8969677085567908,0,0,0.1417125026045784,Training,0.45,164677.31043030162,4532.9436495623895
118,0,33533.890124394566,49044.0,0.6837511239783575,1,0,0.3738290291416983,Training,0.45,85808.78431676494,5641.1737148460625
122,0,45500.0,50000.0,0.91,0,0,0.787624941947598,Training,0.45,50455.615939098716,16126.620686377068
125,0,67913.0,97205.0,0.69865747646726,0,0,0.0467042987718078,Training,0.45,97140.84731893994,1427.3230691204026
126,0,71855.0,88566.0,0.8113158548427162,0,0,0.048983147398321,Training,0.45,105375.11625456538,1583.8578253378598
127,0,53918.0,59511.0,0.9060173749390869,0,0,0.0129783827280068,Validation,0.45,36083.4811120558,314.8957979679018
129,0,88026.0,115506.0,0.7620902810243624,0,0,0.0118487140684304,Test,0.45,55520.64995993261,469.34770706444453
131,0,67317.0,97191.0,0.6926258604191746,0,0,0.0467042987718078,Training,0.45,96288.34566237804,1414.7969761898037
132,0,56067.0,63102.0,0.8885138347437482,0,0,0.255278537145043,Training,0.45,146737.11522620748,6440.715783950007
133,0,80482.0,88342.0,0.9110275972923412,0,0,0.040301282019472,Training,0.45,106373.48701079322,1459.5875007710156
134,0,58688.0,63348.0,0.9264380880217213,0,0,0.255278537145043,Test,0.45,153596.72924172267,6741.8040545857275
135,0,65873.0,90408.0,0.7286191487478985,0,0,0.0467042987718078,Test,0.45,94222.8886286945,1384.448522847883
137,0,67794.0,84630.0,0.8010634526763559,0,0,0.1417125026045784,Validation,0.45,157059.92492208813,4323.265830708655
139,0,19444.172588134545,28437.5,0.6837511239783576,1,0,0.6355026090919068,Training,0.45,34718.102677625735,5560.570085126777
140,0,170986.0,245300.0,0.6970485120260905,0,0,0.4534831721179381,Validation,0.45,409530.4279371096,34892.67315049099
142,0,57461.0,68494.0,0.8389201973895524,0,0,0.1615253709344235,Training,0.45,138333.69033654509,4176.63420266831
143,0,47661.555848035394,69706.0,0.6837511239783576,1,0,0.0346090512482412,Validation,0.45,57902.42748467051,742.2845530120052
144,0,23825.991666149846,34846.0,0.6837511239783576,1,0,0.0933343798659721,Training,0.45,47352.08251305234,1000.7028705833619
145,0,47479.0,61690.0,0.7696385151564273,0,0,0.0129783827280068,Test,0.45,31774.31654956225,277.2902850943657
146,0,66839.0,87168.0,0.7667836820851689,0,0,0.0959045833354817,Training,0.45,134332.12903183608,2884.5749005021175
147,0,12457.0,53448.0,0.23306765454273312,0,0,0.0562609926136271,Test,0.45,19608.22177218753,315.37943324457876
148,0,90059.0,113714.0,0.7919781205480416,0,0,0.0118487140684304,Training,0.45,56802.92430351908,480.187503129948
166,0,73126.0,87500.0,0.8357257142857143,0,0,0.4534831721179381,Test,0.45,175144.87778724034,14922.634699933355
167,0,72517.0,86250.0,0.8407768115942029,0,0,0.2472632650138446,Training,0.45,189286.49060515114,8068.855585054037
168,0,26037.0,35000.0,0.7439142857142858,0,0,0.572475587587339,Training,0.45,52759.62272191891,6707.496093305195
169,0,39000.0,50340.0,0.7747318235995232,0,0,0.125168854710911,Training,0.45,86717.80822756611,2196.713400176488
170,0,18153.592341625394,26550.0,0.6837511239783576,1,0,0.4853968513213417,Validation,0.45,41916.52529738169,3965.263453258285
171,0,70470.0,77908.0,0.9045284181342096,0,0,0.3777907662127063,Training,0.45,179888.19508859492,11980.311882754237
172,0,24871.44713471276,36375.0,0.6837511239783576,1,0,0.4853968513213417,Validation,0.45,57428.00782268396,5432.63495714765
173,0,74225.0,89640.0,0.8280343596608657,0,0,0.3777907662127063,Training,0.45,189473.55300767644,12618.683829962158
174,0,44717.323508184585,65400.0,0.6837511239783576,1,0,0.5636122783578326,Test,0.45,92025.72664212021,11341.454663030481
176,0,78565.0,98500.0,0.7976142131979695,0,0,0.671165058398555,Training,0.45,128688.9490798037,23728.537265887113
177,0,59900.0,80800.0,0.7413366336633663,0,0,0.3180226123901646,Training,0.45,156915.14659790148,8572.299516976887
186,0,44674.0,59375.0,0.7524042105263158,0,0,0.003665531455808,Test,0.45,12566.093755178374,73.68927851554497
188,0,80153.0,97275.0,0.8239835517861732,0,0,0.0467042987718078,Training,0.45,114648.59946041247,1684.57034675552
189,0,68739.0,93435.0,0.7356879113822443,0,0,0.0467042987718078,Training,0.45,98322.33451410793,1444.6830569738834
190,0,51209.0,55320.0,0.9256869125090383,0,0,0.0129783827280068,Validation,0.45,34270.540158523414,299.0745005033251
192,0,31644.685768842366,46281.0,0.6837511239783576,1,0,0.107608681606781,Test,0.45,66573.51575441528,1532.3593119506963
193,0,66435.0,82819.0,0.8021709994083484,0,0,0.0959045833354817,Training,0.45,133520.17523047968,2867.1394472517272
194,0,179725.0,251962.0,0.7133020058580262,0,0,0.0959045833354817,Training,0.45,361208.9033385709,7756.403057986251
195,0,85583.0,115341.0,0.7419998092612341,0,0,0.0208904915234831,Training,0.45,77292.64919563741,804.5419212244145
196,0,72891.0,80691.0,0.903334944417593,0,0,0.0190259173774813,Training,0.45,62153.85813311304,624.0681646028953
198,0,18266.41127708182,26715.0,0.6837511239783575,1,0,0.0236797208877591,Training,0.45,17797.008797551985,194.64458429804077
199,0,87258.0,121382.0,0.7188710022902901,0,0,0.0118487140684304,Training,0.45,55036.249224136045,465.25279148239497
200,0,19344.003048471714,28291.0,0.6837511239783576,1,0,0.0236797208877591,Training,0.45,18846.909073237628,206.1272668678971
202,0,93000.0,116875.0,0.7957219251336899,0,0,0.0536047699770496,Training,0.45,142858.1573489353,2243.3596235395257
205,0,66834.0,87361.0,0.7650324515516077,0,0,0.048983147398321,Training,0.45,98011.83661203287,1473.1828529487236
206,0,73882.0,96031.0,0.7693557288792161,0,0,0.0467042987718078,Training,0.45,105678.73723172177,1552.773150836417
207,0,74071.0,97064.0,0.7631150581059919,0,0,0.0467042987718078,Validation,0.45,105949.07752214157,1556.7453514469591
208,0,62702.0,79784.0,0.7858969216885591,0,0,0.1417125026045784,Training,0.45,145263.17096593755,3998.545802240524
209,0,24905.634690911676,36425.0,0.6837511239783576,1,0,0.0236797208877591,Test,0.45,24265.620267671016,265.39131510597554
210,0,67000.0,77000.0,0.8701298701298701,0,0,0.5636122783578326,Training,0.45,137882.21658421805,16992.910192488653
211,0,43039.0,53521.0,0.8041516414117823,0,0,0.0020633132788646,Training,0.45,7954.013422034721,39.96132309407408
212,0,19000.0,26000.0,0.7307692307692307,0,0,0.918913018739085,Training,0.45,8404.934189954296,7856.706310219178
214,0,91250.0,110000.0,0.8295454545454546,0,0,0.4534831721179381,Test,0.45,218553.86727136286,18621.152755092833
215,0,16324.0,45187.0,0.3612543430632704,0,0,0.1461632969148715,Training,0.45,38181.081099535215,1073.6863464772632
217,0,73698.0,84427.0,0.8729198005377427,0,0,0.0346090512482412,Training,0.45,89533.23123506772,1147.7780365017961
218,0,66987.0,65111.0,1.0288123358572285,0,0,0.0959045833354817,Training,0.45,134629.57745411518,2890.9621457522608
220,0,33774.57052003495,49396.0,0.6837511239783575,1,0,0.3738290291416983,Training,0.45,86424.65357864206,5681.66170823212
221,0,44993.0,50673.0,0.8879087482485742,0,0,0.0020633132788646,Training,0.45,8315.131064792587,41.77559446017973
223,0,75958.0,91703.0,0.8283044175217823,0,0,0.0467042987718078,Validation,0.45,108648.18931061857,1596.4043067490397
224,0,97132.0,117343.0,0.8277613492070256,0,0,0.0708538629594606,Training,0.45,170945.70146401547,3096.979837640247
225,0,60826.0,80826.0,0.7525548709573652,0,0,0.0047251656534692,Training,0.45,20503.36752396124,129.3358167170629
226,0,83552.0,96809.0,0.8630602526624591,0,0,0.0153725731815692,Training,0.45,62329.21922497637,577.9841555099114
227,0,47449.0,63895.0,0.742608967837859,0,0,0.0267956112757076,Training,0.45,49752.121739606126,572.1412317394725
228,0,50934.0,62957.0,0.8090283844528805,0,0,0.0267956112757076,Validation,0.45,53406.27976743658,614.1634491226009
229,0,53429.0,64505.0,0.8282923804356251,0,0,0.0129783827280068,Training,0.45,35756.22820460754,312.03990484860395
230,0,44767.921091358985,65474.0,0.6837511239783576,1,0,0.0708538629594606,Training,0.45,78788.49065239113,1427.3910656941928
231,0,47844.0,52040.0,0.919369715603382,0,0,0.0020633132788646,Test,0.45,8842.0227738523,44.42272223129907
234,0,86922.0,119846.0,0.7252807769971463,0,0,0.0118487140684304,Training,0.45,54824.32390222505,463.4612659152483
235,0,68625.0,82304.0,0.8337990863141524,0,0,0.0467042987718078,Test,0.45,98159.27211671187,1442.28712644689
236,0,65814.0,85848.0,0.7666340508806262,0,0,0.0959045833354817,Training,0.45,132272.09772888973,2840.338911438627
237,0,51455.00708386732,75254.0,0.6837511239783576,1,0,0.0153725731815692,Test,0.45,38385.08254444033,355.9481378797104
239,0,48152.0,55760.0,0.863558106169297,0,0,0.0129783827280068,Test,0.45,32224.7075653346,281.2207883035426
240,0,70481.0,82446.0,0.8548747058680833,0,0,0.0708538629594606,Validation,0.45,124041.75745259311,2247.233001860584
241,0,24206.157291081814,35402.0,0.6837511239783576,1,0,0.0933343798659721,Test,0.45,48107.6285693359,1016.6700058655852
242,0,87765.0,101053.0,0.8685046460768112,0,0,0.0708538629594606,Training,0.45,154460.41972768313,2798.320177186677
243,0,52897.0,65054.0,0.8131244812002336,0,0,0.0118487140684304,Training,0.45,33363.731408113,282.0426426349933
246,0,43486.0,81600.0,0.5329166666666667,0,0,0.5876179762820286,Training,0.45,85710.215210927,11498.919892470134
249,0,93051.0,115374.0,0.8065161994903531,0,0,0.0118487140684304,Training,0.45,58690.068836726525,496.14061175168274
250,0,87438.0,116679.0,0.7493893502686859,0,0,0.0118487140684304,Training,0.45,55149.78064658837,466.2125373219378
251,0,78059.0,78179.0,0.9984650609498714,0,0,0.0153725731815692,Test,0.45,58231.47888120488,539.9854604910496
252,0,72147.0,69918.0,1.0318802025229554,0,0,0.2197896366746712,Test,0.45,185620.9687172049,7135.723312725377
256,0,45299.19571469017,66251.0,0.6837511239783576,1,0,0.1417125026045784,Test,0.45,104945.69250936978,2888.758075816502
257,0,71644.0,72696.0,0.9855287773742709,0,0,0.2197896366746712,Training,0.45,184326.8421802075,7085.973928464065
259,0,53793.0,66379.0,0.8103918407930218,0,0,0.0267956112757076,Test,0.45,56404.052450813135,648.6373428093625
260,0,69435.0,83489.0,0.8316664470768604,0,0,0.0118487140684304,Test,0.45,43794.746210982215,370.2219576036592
261,0,29648.0,39907.0,0.7429273059864184,0,0,0.0332854224774289,Test,0.45,35234.58582489129,444.0807925248654
262,0,76407.0,77485.0,0.9860876298638446,0,0,0.0708538629594606,Training,0.45,134471.11365730173,2436.178998214578
265,0,41439.0,53893.0,0.7689124747184235,0,0,0.0020633132788646,Test,0.45,7658.318320492966,38.47573753329157
266,0,15275.0,47954.0,0.31853442882762645,0,0,0.1461632969148715,Training,0.45,35727.51861035288,1004.6899621685982
267,0,100934.0,111496.0,0.9052701442204205,0,0,0.0708538629594606,Training,0.45,177636.96239724229,3218.2037117775885
268,0,51065.952694323634,74685.0,0.6837511239783576,1,0,0.0153725731815692,Training,0.45,38094.850636929936,353.2567926960184
269,0,49514.0,58249.0,0.850040344040241,0,0,0.0118487140684304,Test,0.45,31229.971396134133,264.00475277291827
270,0,76948.0,85753.0,0.8973213765116089,0,0,0.0467042987718078,Test,0.45,110064.2574985318,1617.2110718518802
271,0,28127.0,36524.0,0.7700963749863103,0,0,0.0332854224774289,Training,0.45,33426.983118480755,421.2985851101892
272,0,46899.17334479952,68591.0,0.6837511239783576,1,0,0.1417125026045784,Training,0.45,108652.39762283106,2990.7896511498643
273,0,26927.0,35461.0,0.7593412481317504,0,0,0.2256439609876891,Training,0.45,69543.50619432009,2734.1617218819774
274,0,49806.0,82242.0,0.6056029765813088,0,0,0.0416971016455334,Validation,0.45,67056.72240276598,934.5446300508465
279,0,62319.0,82923.0,0.7515285264643102,0,0,0.1417125026045784,Test,0.45,144375.86602383116,3974.1216524166252
280,0,71556.0,79538.0,0.8996454524881189,0,0,0.1417125026045784,Training,0.45,165775.437173274,4563.170926367946
281,0,26701.84889360282,39052.0,0.6837511239783576,1,0,0.0527544009894208,Training,0.45,40684.25934979991,633.8880196614205
283,0,28116.0,33450.0,0.8405381165919282,0,0,0.4008768389025415,Test,0.45,70636.60874255504,5071.973941162735
284,0,44382.28545743519,64910.0,0.6837511239783576,1,0,0.0346090512482412,Test,0.45,53918.551746334066,691.2129563597001
285,0,47296.43274783095,69172.0,0.6837511239783576,1,0,0.0708538629594606,Training,0.45,83238.49887599962,1508.0107339737715
286,0,24878.28464595254,36385.0,0.6837511239783576,1,0,0.107608681606781,Training,0.45,52338.48384270867,1204.7037351251288
287,0,28115.162466866084,41119.0,0.6837511239783576,1,0,0.107608681606781,Training,0.45,59148.16867193453,1361.4460047989603
288,0,75000.0,90543.0,0.828335707895696,0,0,0.0190259173774813,Training,0.45,63952.19382342783,642.124711489994
289,0,79296.0,86885.0,0.9126546584565806,0,0,0.0190259173774813,Training,0.45,67615.37548563378,678.9056149641407
291,0,172595.0,250155.0,0.689952229617637,0,0,0.0959045833354817,Training,0.45,346879.12461661233,7448.6932023543595
292,0,23728.89900654492,34704.0,0.6837511239783576,1,0,0.0933343798659721,Test,0.45,47159.1193116274,996.6249331551682
293,0,50463.567954098704,73804.0,0.6837511239783576,1,0,0.1417125026045784,Training,0.45,116910.11290337544,3218.0933273091896
294,0,46595.0,58191.0,0.800725198054682,0,0,0.0321424601431243,Training,0.45,54286.48364059164,673.9550686659945
296,0,70973.0,77989.0,0.9100385951865007,0,0,0.0959045833354817,Validation,0.45,142640.58698928024,3062.986196881114
298,0,35000.53628532815,51189.0,0.6837511239783576,1,0,0.1721226640823623,Training,0.45,85676.32950949615,2710.9734973839313
299,0,82912.0,91175.0,0.9093720866465588,0,0,0.0153725731815692,Training,0.45,61851.78361237601,573.5568544336195
301,0,74187.0,78976.0,0.9393613249594813,0,0,0.1417125026045784,Test,0.45,171870.73561369666,4730.951443826637
302,0,45745.00144752406,66903.0,0.6837511239783576,1,0,0.0346090512482412,Test,0.45,55574.06975019239,712.4359947517027
304,0,47515.23310750403,69492.0,0.6837511239783576,1,0,0.0346090512482412,Training,0.45,57724.66488917343,740.0057119603803
305,0,95232.0,115977.0,0.8211283271683179,0,0,0.0467042987718078,Training,0.45,136217.1774458099,2001.4847012865603
316,0,72951.0,80000.0,0.9118875,0,0,0.2472632650138446,Test,0.45,190419.33306860985,8117.146100711241
317,0,43000.0,57460.0,0.7483466759484859,0,0,0.5636122783578326,Training,0.45,88491.5718376325,10905.89758622406
318,0,53500.0,64790.0,0.8257447136903843,0,0,0.90972894959573,Training,0.45,26270.86737032376,21901.724461517202
319,0,69876.0,94394.07,0.7402583658062418,0,0,0.4534831721179381,Training,0.45,167360.76744606852,14259.41556071087
320,0,51000.0,86125.0,0.5921625544267054,0,0,0.3180226123901646,Validation,0.45,133600.54217851377,7298.618954354278
321,0,53227.0,68700.0,0.7747743813682678,0,0,0.8038075448932018,Training,0.45,54844.64431877385,19252.918886413703
322,0,29606.423668262883,43300.0,0.6837511239783576,1,0,0.3900523603992985,Training,0.45,74968.31705530886,5196.624945654418
323,0,14000.0,61493.0,0.22766818987527035,0,0,0.2472632650138446,Validation,0.45,36543.305272861755,1557.758569587221
328,0,79046.0,103048.0,0.7670794192997438,0,0,0.0267956112757076,Validation,0.45,82882.80501230597,953.1386500048125
329,0,36368.72228440884,53190.0,0.6837511239783576,1,0,0.1721226640823623,Training,0.45,89025.45403524389,2816.946615988812
331,0,129731.0,154113.0,0.841791412794508,0,0,0.3180226123901646,Training,0.45,339845.7242619759,18565.8261875948
332,0,48500.0,62500.0,0.776,0,0,0.781558118559156,Training,0.45,55196.10809953825,17057.505937553582
333,0,32409.80327657415,47400.0,0.6837511239783576,1,0,0.6355026090919068,Training,0.45,57868.59136420077,9268.431544088236
334,0,91704.0,114799.0,0.7988222893927648,0,0,0.0467042987718078,Training,0.45,131170.8253579737,1927.3369565564383
335,0,47604.0,54966.0,0.8660626569151839,0,0,0.0321424601431243,Validation,0.45,55462.04028815805,688.5493526939802
336,0,24102.227120237105,35250.0,0.6837511239783576,1,0,0.1398917309562923,Training,0.45,55611.02613969963,1517.2660222882473
338,0,48300.0,53388.0,0.9046976848730052,0,0,0.003665531455808,Training,0.45,13586.030540697395,79.67032619198689
339,0,68743.0,65321.0,1.0523874404862141,0,0,0.0959045833354817,Test,0.45,138158.76278872378,2966.745947503958
340,0,79636.0,87276.0,0.9124616160227325,0,0,0.008375743780809,Training,0.45,39882.58990782312,300.1548292778275
341,0,32020.065135906487,46830.0,0.6837511239783576,1,0,0.3738290291416983,Training,0.45,81935.10662984468,5386.513438264439
342,0,78753.0,95433.0,0.8252176919933356,0,0,0.0153725731815692,Training,0.45,58749.19812361839,544.7863150956537
343,0,77265.0,97944.0,0.7888691497182063,0,0,0.0153725731815692,Training,0.45,57639.16032432256,534.4928400932749
344,0,75657.0,84368.0,0.8967499525886592,0,0,0.0467042987718078,Training,0.45,108217.64736661669,1590.0782094803985
345,0,171582.0,245730.0,0.6982541814186302,0,0,0.0467042987718078,Training,0.45,245426.07254396583,3606.1276463389468
346,0,23185.316862982127,33909.0,0.6837511239783576,1,0,0.0933343798659721,Training,0.45,46078.79716280467,973.7942271311259
347,0,46601.0,59486.0,0.7833944121305854,0,0,0.0321424601431243,Test,0.45,54293.47406664258,674.0418533083811
348,0,60354.0,87596.0,0.6890040641125166,0,0,0.0267956112757076,Test,0.45,63283.516100912304,727.7500453203254
349,0,45356.0,82054.0,0.5527579398932411,0,0,0.0353449320592947,Training,0.45,55755.628840666024,721.3971323166166
350,0,28483.02057156644,41657.0,0.6837511239783576,1,0,0.0095117371175792,Validation,0.45,15537.091887718367,121.91535179610321
352,0,54753.42250593892,80078.0,0.6837511239783576,1,0,0.0153725731815692,Test,0.45,40845.6778376391,378.7654474862658
354,0,70793.0,71552.0,0.9893923300536672,0,0,0.2197896366746712,Training,0.45,182137.37561363727,7001.805487099499
355,0,73881.0,98550.0,0.7496803652968037,0,0,0.0267956112757076,Training,0.45,77467.10165111678,890.8589504972489
356,0,45787.0,64854.0,0.7060011718629537,0,0,0.0129783827280068,Training,0.45,30641.981336060293,267.40854448526136
357,0,75121.0,96462.0,0.7787626215504551,0,0,0.0153725731815692,Test,0.45,56039.75102211138,519.661381487697
358,0,35371.8131456484,51732.0,0.6837511239783576,1,0,0.0346090512482412,Training,0.45,42972.03079558395,550.8832022554308
359,0,133882.0,155222.0,0.8625194882168765,0,0,0.0118487140684304,Validation,0.45,84443.41055978571,713.8482916093195
360,0,75623.0,89634.0,0.8436865475154517,0,0,0.008375743780809,Test,0.45,37872.83510722924,285.0294923712536
361,0,45564.0,61956.0,0.7354251404222352,0,0,0.0708538629594606,Test,0.45,80189.53528709798,1452.7734353481883
362,0,99469.0,116260.0,0.8555737140891106,0,0,0.0467042987718078,Test,0.45,142277.6632156971,2090.5334525398275
363,0,55000.0,69000.0,0.7971014492753623,0,0,0.4534831721179381,Training,0.45,131731.0980813694,11223.708509918968
364,0,49838.61942678248,72890.0,0.6837511239783576,1,0,0.0708538629594606,Training,0.45,87712.57420736154,1589.0664199292805
365,0,44226.0,57779.0,0.7654338081309818,0,0,0.0129783827280068,Validation,0.45,29597.315101854292,258.29187953797293
366,0,26700.481391354864,39050.0,0.6837511239783576,1,0,0.0095117371175792,Test,0.45,14564.741537206284,114.28558195832227
367,0,78724.0,80355.0,0.979702569846307,0,0,0.0190259173774813,Training,0.45,67127.63342074043,674.0083438311771
370,0,45582.0,89005.0,0.5121285321049379,0,0,0.0353449320592947,Training,0.45,56033.44813950169,724.9917119070469
371,0,92659.0,117352.0,0.7895817710818733,0,0,0.0118487140684304,Training,0.45,58442.82262783036,494.0504985900116
372,0,58052.0,70091.0,0.8282375768643621,0,0,0.255278537145043,Training,0.45,151932.20634440574,6668.743337254817
373,0,49498.0,64296.0,0.769845713574717,0,0,0.1744066833119632,Validation,0.45,121561.95060090459,3884.7519047589994
374,0,79667.0,96988.0,0.8214108961933435,0,0,0.0153725731815692,Training,0.45,59431.03585786327,551.109054445233
376,0,69357.0,73726.0,0.9407400374359114,0,0,0.2197896366746712,Training,0.45,178442.81158356107,6859.777423880327
377,0,26655.0,29792.0,0.894703276047261,0,0,0.2256439609876891,Training,0.45,68841.0204482342,2706.542901057084
379,0,99131.0,125652.0,0.7889329258587209,0,0,0.0071889416436986,Training,0.45,44745.70200561456,320.6911383366687
380,0,76577.0,83200.0,0.9203966346153846,0,0,0.0153725731815692,Validation,0.45,57125.91704077718,529.7334914362611
381,0,47251.0,58157.0,0.8124731330708255,0,0,0.0708538629594606,Training,0.45,83158.54033558657,1506.5621454138627
382,0,53476.0,70157.0,0.7622332767934775,0,0,0.255278537145043,Training,0.45,139956.0164416978,6143.073773565744
383,0,81116.0,86148.0,0.9415888935320611,0,0,0.040301282019472,Training,0.45,107211.44817931343,1471.085456531171
384,0,17491.0,63614.0,0.2749551985412016,0,0,0.040301282019472,Training,0.45,23117.947631840463,317.20937571116315
385,0,65215.0,74332.0,0.8773475757412689,0,0,0.0101748583115784,Training,0.45,37206.521174778434,298.59902315531343
386,0,62746.0,75016.0,0.8364348938893036,0,0,0.0959045833354817,Training,0.45,126106.07232650979,2707.933043685661
387,0,76732.0,78084.0,0.9826853132523948,0,0,0.0708538629594606,Test,0.45,135043.0915119305,2446.5413756723988
388,0,70035.0,78635.0,0.8906339416290456,0,0,0.0467042987718078,Test,0.45,100176.09650555797,1471.921004017602
389,0,39687.0,51666.0,0.7681453954244571,0,0,0.003665531455808,Test,0.45,11163.329069744463,65.46327609899345
390,0,51436.0,91284.0,0.5634722404802595,0,0,0.0267956112757076,Training,0.45,53932.646289666394,620.2165777097832
391,0,44968.0,62747.0,0.7166557763717787,0,0,0.0708538629594606,Validation,0.45,79140.61589830177,1433.7704293024608
392,0,9113.0,46351.0,0.19660848741127485,0,0,0.950987253064781,Test,0.45,2461.5906200472123,3899.8560767307076
393,0,28041.0,33438.0,0.8385968060290687,0,0,0.2256439609876891,Training,0.45,72420.59855145132,2847.2770395251055
394,0,57887.0,74776.0,0.7741387610998182,0,0,0.0208904915234831,Validation,0.45,52279.53663680711,544.1795472689399
