idx,DEFAULT,PROPERTY VALUE,YEARS AT JOB,DEROGATORY REPORTS,DELINQUENT CREDIT LINES,OLDEST CREDIT (MONTHS),RECENT CREDIT ENQUIRIES,DEBTINC
146,0,87168.0,4.0,0.0,0.0,122.5972226,0.0,40.61677935
4352,0,70383.0,5.0,0.0,0.0,178.7866403,1.0,36.09869413
1039,0,201281.0,14.0,0.0,0.0,13.21305726,,17.82563094
645,0,53543.0,8.0,0.0,0.0,203.54461,1.0,31.4916868
861,0,65605.0,23.0,0.0,0.0,259.6838134,3.0,39.82999947
3610,0,157459.0,19.0,0.0,0.0,248.7235332,0.0,21.92019846
2967,0,89756.0,2.0,0.0,0.0,193.1358902,0.0,31.41358583
3182,0,119585.0,1.0,0.0,0.0,147.9158091,0.0,34.73427716
5089,0,104044.0,16.0,0.0,1.0,141.9812345,0.0,39.54650758
2254,0,135789.0,15.0,0.0,0.0,303.6882297,0.0,27.86907921
3226,0,118718.0,15.0,0.0,0.0,276.9110829,0.0,26.69615871
2326,0,88783.0,6.0,0.0,0.0,211.1025521,2.0,42.25458004
1393,0,121994.0,15.0,0.0,0.0,270.2651653,0.0,33.65829222
4106,0,146904.0,11.0,0.0,0.0,153.2238882,1.0,34.96596275
5190,0,209726.0,5.0,0.0,0.0,190.329522,0.0,38.88660597
3036,0,73720.0,17.0,0.0,0.0,186.4730715,0.0,38.37360781
1546,1,59900.0,3.0,1.0,0.0,91.63333333,4.0,
3320,0,97551.0,0.0,0.0,0.0,75.06082943,0.0,35.5629932
5849,0,82300.0,3.0,2.0,0.0,269.3359755,6.0,41.08753538
5082,0,46735.0,24.0,0.0,0.0,103.8162897,0.0,24.25867722
511,0,40185.0,3.0,0.0,0.0,272.9226847,1.0,41.91689953
2527,1,42075.0,18.0,1.0,0.0,122.2331482,0.0,
3837,0,100797.0,,2.0,0.0,247.0372719,2.0,40.27214938
2132,0,56394.0,,0.0,0.0,74.43599333,0.0,41.0603207
2448,1,162403.0,13.0,0.0,0.0,163.4989942,0.0,35.42841566
3607,0,120119.0,7.0,0.0,0.0,292.7517427,1.0,30.68168891
5554,0,163905.0,,0.0,0.0,252.3710369,3.0,34.62775217
1892,0,66569.0,3.0,0.0,0.0,198.8151672,1.0,27.99687276
2359,0,99400.0,6.0,0.0,0.0,130.1675148,1.0,27.17296471
644,0,75462.0,,,,,,23.34502168
4086,0,105330.0,,0.0,0.0,187.3708537,1.0,38.18834501
3564,1,82410.0,0.0,1.0,0.0,85.77380757,1.0,51.5173853
5876,1,299772.0,5.0,0.0,0.0,112.7482819,7.0,44.94592915
3228,0,66319.0,4.0,0.0,0.0,101.3255769,2.0,27.97593545
5086,0,179197.0,1.0,0.0,0.0,183.3762884,0.0,40.28747993
726,0,176244.0,8.0,0.0,0.0,196.7241605,0.0,34.74574315
5902,0,207803.0,9.0,0.0,0.0,304.3146151,2.0,36.43625181
515,0,70969.0,0.0,0.0,0.0,65.87204481,7.0,26.82949019
1569,0,87684.0,20.0,1.0,1.0,229.1779592,0.0,25.48999451
961,0,62358.0,15.0,0.0,4.0,219.657131,0.0,27.61706343
4424,0,46846.0,,,,77.55320305,,25.61429467
501,0,68389.0,4.0,0.0,0.0,80.15243091,2.0,40.56186054
2795,0,101302.0,1.0,0.0,0.0,128.2862471,0.0,41.56998354
4169,0,94103.0,0.0,0.0,0.0,154.5525474,1.0,34.7717086
1532,0,73140.0,20.0,0.0,1.0,399.2426919,1.0,23.37450457
3560,0,109980.0,7.0,0.0,0.0,145.4859265,2.0,22.49623552
2184,0,136099.0,15.0,,0.0,188.2609728,1.0,31.63052886
486,0,75300.0,1.5,0.0,0.0,103.6666667,0.0,
3150,0,85015.0,4.0,0.0,0.0,116.5252651,0.0,27.29874318
1054,0,51990.0,30.0,0.0,0.0,246.1952393,0.0,20.74336471
1315,0,66674.0,4.0,0.0,0.0,83.5030948,2.0,37.09841345
1940,0,93741.0,0.0,0.0,0.0,38.33492385,1.0,42.10934773
5090,0,134864.0,10.0,0.0,1.0,150.596198,0.0,40.88049467
5702,0,469694.0,3.0,0.0,0.0,304.9828841,3.0,43.36362433
621,0,80498.0,4.0,0.0,0.0,100.428331,0.0,42.80734195
3223,0,66082.0,29.0,0.0,0.0,283.8487591,1.0,38.39363467
372,0,70091.0,9.0,0.0,4.0,153.7804385,1.0,21.71959598
1276,0,56088.0,1.0,0.0,0.0,163.0891482,1.0,37.97305537
1544,0,53683.0,22.0,0.0,1.0,129.7580621,0.0,38.42588111
5693,1,99500.0,3.0,1.0,1.0,203.8,2.0,
245,1,43132.0,,,,,,
1422,0,57224.0,15.0,0.0,0.0,68.81082617,0.0,30.51822975
2707,0,42722.0,2.0,0.0,0.0,207.962141,0.0,37.1228372
5951,0,94838.0,16.0,0.0,0.0,193.7020508,0.0,36.26269133
5294,0,160084.0,6.0,0.0,0.0,124.1214617,3.0,32.64452984
4938,0,118388.0,9.0,0.0,0.0,130.1924181,0.0,28.15413466
1108,0,97413.0,5.0,0.0,0.0,107.3330245,0.0,33.5248796
636,0,67081.0,1.0,0.0,0.0,59.08154143,0.0,41.07787822
144,0,34846.0,,,,,,33.35465263
4324,0,42800.0,,,,89.3,,
1891,0,31843.0,7.0,0.0,1.0,107.7410948,0.0,19.30085445
1136,0,118924.0,31.0,0.0,0.0,341.9449756,2.0,35.24889763
2018,0,59309.0,6.0,2.0,0.0,355.1312291,1.0,15.82361555
3853,0,139200.0,10.0,0.0,0.0,99.04640244,3.0,39.91695729
4982,0,98614.0,10.0,0.0,0.0,151.6287037,0.0,38.15962279
3227,0,82319.0,,0.0,0.0,249.2156672,1.0,43.75679409
4050,0,64703.0,12.0,0.0,2.0,123.8939486,1.0,40.13923179
1047,0,56900.0,,,,,,14.43523879
4122,0,78645.0,,,,,,38.46833167
1428,0,52355.0,1.0,0.0,0.0,248.5834087,0.0,39.20462501
3648,0,81690.0,16.0,0.0,0.0,198.7025164,0.0,37.74942653
5803,1,,0.0,0.0,4.0,160.3333333,2.0,
4837,1,,2.0,0.0,5.0,303.7379347,1.0,16.6446745
2489,0,117405.0,2.0,0.0,0.0,133.9305097,1.0,35.54740722
2213,0,144451.0,0.0,0.0,0.0,259.733117,1.0,35.31021701
942,1,40300.0,5.0,0.0,0.0,109.5356355,7.0,23.08290534
1595,0,69864.0,4.0,0.0,1.0,312.547396,0.0,31.18180135
3054,0,100221.0,1.0,0.0,0.0,90.05044751,0.0,25.7083938
2597,1,-1.0,1.0,0.0,0.0,111.6,2.0,
23,1,,22.0,,2.0,121.7333333,0.0,
5145,0,106906.0,12.0,0.0,0.0,288.8495515,1.0,38.98401301
1512,0,182053.0,4.0,0.0,0.0,198.8097171,0.0,33.53872615
2246,0,94071.0,9.0,0.0,0.0,221.2231427,2.0,41.48214297
4563,0,26500.0,17.0,3.0,0.0,126.8333333,2.0,
475,0,81018.0,22.0,0.0,0.0,341.6105761,1.0,27.76729977
2716,0,57135.0,4.0,0.0,0.0,310.3667568,0.0,17.60120617
1448,0,85505.0,19.0,0.0,0.0,240.682581,0.0,24.40433511
717,0,246758.0,,0.0,0.0,138.1548182,0.0,40.33786076
5766,0,157649.0,16.0,,1.0,216.1010462,4.0,40.48351525
3494,0,59750.0,6.0,1.0,0.0,109.9614065,1.0,27.91184544
1793,0,83102.0,14.0,0.0,0.0,238.5249274,1.0,44.44967097
3762,1,103000.0,0.5,0.0,0.0,174.3,3.0,
2751,1,67000.0,15.0,,,,,
3711,0,90000.0,9.0,0.0,0.0,195.8,2.0,
448,0,57150.0,4.0,0.0,1.0,94.33333333,3.0,
2205,0,52016.0,24.0,0.0,1.0,269.6287109,0.0,28.17242611
5154,1,65635.0,18.0,0.0,3.0,221.1,1.0,
1450,0,63805.0,9.0,0.0,0.0,88.60602346,0.0,38.0261511
378,1,45200.0,25.0,0.0,2.0,128.0,4.0,
3066,0,95498.0,0.0,0.0,1.0,161.6609943,0.0,24.26256802
3816,1,163800.0,14.0,2.0,6.0,244.0666667,,
5240,0,90560.0,24.0,0.0,1.0,174.4747237,0.0,24.49083911
3102,0,93772.0,5.0,0.0,0.0,126.4894051,2.0,35.85635489
2684,0,48095.0,1.0,0.0,0.0,301.6576658,0.0,19.01244637
5786,0,107824.0,9.0,0.0,0.0,203.6866984,2.0,41.5263174
4676,0,113245.0,9.0,0.0,1.0,122.7492164,0.0,28.12573109
1694,0,126479.0,8.0,,,,,38.92831569
5304,0,289260.0,13.0,0.0,0.0,264.4315076,2.0,26.98136309
4692,0,112172.0,9.0,0.0,1.0,306.8710779,2.0,30.12004195
605,0,86018.0,16.0,0.0,0.0,187.1940112,0.0,24.21765848
4767,1,211000.0,13.0,1.0,2.0,148.1333333,4.0,
2143,1,131000.0,14.0,0.0,0.0,165.3333333,2.0,
4605,0,102098.0,18.0,1.0,0.0,196.2531041,1.0,39.7589325
3939,1,83558.0,0.0,0.0,0.0,65.88287939,0.0,65.14359346
5218,0,131386.0,9.0,0.0,0.0,146.0654833,0.0,38.67920763
4809,0,54464.0,25.0,0.0,0.0,116.4407697,0.0,22.45936936
318,0,64790.0,0.1,0.0,2.0,105.4,3.0,
3276,0,94453.0,19.0,0.0,0.0,244.3562274,2.0,35.74477089
1658,0,51984.0,,0.0,0.0,82.52779435,0.0,40.88273326
5418,0,180750.0,14.0,0.0,0.0,167.8572559,2.0,42.63343718
286,0,36385.0,2.0,0.0,0.0,266.5533944,1.0,43.30976454
405,1,80400.0,15.0,0.0,0.0,224.8666667,0.0,
109,0,79852.0,6.0,0.0,0.0,105.1207088,0.0,41.80637615
4863,0,267506.0,5.0,0.0,0.0,240.2170139,3.0,39.04842776
5399,0,171916.0,16.0,0.0,0.0,140.4494714,0.0,27.6899107
3417,0,176314.0,6.0,0.0,0.0,218.0193861,3.0,40.15214366
5942,0,109370.0,28.0,0.0,0.0,137.4399914,0.0,34.20200503
4574,0,43403.0,27.0,0.0,0.0,307.6242388,,31.91370468
1297,0,77564.0,4.0,2.0,3.0,188.7800761,2.0,39.69998047
1169,0,97400.0,1.0,0.0,0.0,72.03333333,1.0,
1624,0,63646.0,0.0,1.0,0.0,194.7609999,1.0,27.61084406
2580,0,110975.0,20.0,0.0,0.0,282.1666667,1.0,
611,1,33100.0,3.0,0.0,7.0,122.0666667,0.0,
4611,0,70212.0,25.0,0.0,0.0,303.7624695,3.0,35.22386162
3523,0,89683.0,1.0,0.0,0.0,316.3138584,2.0,43.75656604
1379,1,148000.0,0.7,0.0,0.0,165.3333333,7.0,
1432,0,68825.0,3.0,0.0,0.0,225.8890415,0.0,34.72787519
578,1,40150.0,5.0,0.0,0.0,,1.0,
1864,0,87665.0,21.0,0.0,0.0,238.3827694,0.0,25.33220131
2939,0,137950.0,2.0,,,112.2830944,2.0,32.76133796
3081,0,85685.0,5.0,0.0,0.0,109.4294283,0.0,28.16061131
4536,0,101656.0,19.0,0.0,0.0,648.3284926,0.0,22.84647896
122,0,50000.0,6.0,0.0,0.0,86.16666667,0.0,
1865,0,96637.0,2.0,0.0,0.0,95.90213133,2.0,41.24477919
2166,0,73764.0,2.0,0.0,0.0,263.9311707,0.0,29.96620202
5933,1,215000.0,8.0,1.0,2.0,71.53313192,3.0,
4402,0,97591.0,16.0,0.0,0.0,627.6620795,0.0,22.11885209
4710,0,143484.0,6.0,0.0,0.0,159.5834421,0.0,34.14587135
3080,0,56465.0,3.0,0.0,0.0,301.1485223,0.0,18.25148086
4583,0,122441.0,10.0,0.0,0.0,127.741782,1.0,33.60803731
430,1,42495.0,2.0,0.0,2.0,171.5264892,3.0,41.42859751
4148,0,147792.0,23.0,0.0,0.0,156.6673122,0.0,40.19063608
2455,0,39102.0,8.0,0.0,0.0,71.42081509,2.0,29.15169816
4937,0,158687.0,5.0,0.0,0.0,290.7585045,0.0,36.97751891
3981,0,130472.0,1.0,0.0,0.0,308.410354,3.0,29.66545241
4259,0,148299.0,11.0,0.0,0.0,169.088974,0.0,34.47287973
5619,0,73289.0,5.0,0.0,0.0,180.847815,1.0,23.82041534
3867,0,62987.0,1.0,0.0,0.0,112.7990866,0.0,22.09304595
4600,0,92081.0,7.0,0.0,0.0,230.0597297,0.0,35.89670864
5859,0,251643.0,5.0,0.0,0.0,257.8079289,1.0,40.17406476
3947,0,234004.0,3.0,0.0,0.0,313.6044894,0.0,40.04911263
3571,0,103322.0,8.0,0.0,0.0,87.1337221,0.0,33.40589684
3100,0,111319.0,1.0,0.0,0.0,257.3285966,0.0,27.57659689
1834,0,90050.0,6.0,0.0,0.0,136.7467587,1.0,41.73267582
2858,0,66458.0,4.0,0.0,0.0,146.8278925,1.0,30.28912984
1906,0,198602.0,0.0,0.0,1.0,344.7479335,0.0,39.48382007
4911,1,73249.0,2.0,0.0,0.0,109.2111561,3.0,31.80908592
4698,0,121696.0,3.0,0.0,0.0,208.5232669,1.0,32.64426513
5550,0,-1.0,2.0,0.0,1.0,210.1890052,3.0,41.33662673
2579,0,202800.0,3.5,0.0,0.0,202.9666667,0.0,
275,1,84579.0,0.1,0.0,0.0,95.9,1.0,
5272,0,194243.0,2.0,0.0,0.0,174.9770528,0.0,42.11254013
4445,0,135780.0,5.0,0.0,0.0,155.0253817,0.0,34.64492165
138,1,59745.0,10.0,0.0,0.0,81.5,3.0,
4140,0,195661.0,14.0,,,127.7781102,0.0,29.15307149
765,0,66894.0,23.0,0.0,0.0,326.3428047,1.0,40.58857607
5507,0,198737.0,20.0,0.0,0.0,188.1493561,1.0,37.30853626
2375,0,41870.0,0.0,0.0,0.0,314.4683435,0.0,27.60891892
4502,0,102198.0,2.0,,,231.4343159,5.0,42.17978642
2292,0,108160.0,9.0,0.0,0.0,234.9489511,0.0,30.95143737
2572,0,95000.0,0.0,0.0,0.0,147.1,1.0,
2957,0,117705.0,0.0,0.0,0.0,125.2425886,2.0,38.81066171
2471,0,69422.0,3.0,0.0,0.0,191.1779415,0.0,36.64708052
3813,1,75000.0,7.0,1.0,3.0,267.8333333,1.0,
2457,0,46053.0,8.0,0.0,0.0,76.91471756,2.0,30.69643481
2771,0,106389.0,0.0,0.0,0.0,278.6803944,2.0,40.10825906
2632,1,77542.0,13.0,1.0,1.0,122.5666667,1.0,
4564,0,267036.0,7.0,0.0,0.0,252.0735449,1.0,38.07409059
4109,0,160526.0,16.0,0.0,0.0,195.48568,0.0,32.37876814
2775,0,121747.0,0.0,0.0,0.0,120.5331314,2.0,39.29481281
5672,0,109395.0,14.0,0.0,0.0,198.4484187,0.0,39.55593621
5414,0,109678.0,5.0,,,117.4739215,10.0,41.51283589
806,0,78979.0,18.0,0.0,0.0,202.9542765,1.0,34.8286475
4919,0,185893.0,0.0,0.0,0.0,185.543512,0.0,40.6422789
1096,0,71138.0,4.0,0.0,0.0,258.334618,2.0,36.03571287
925,1,56000.0,5.0,0.0,3.0,73.03333333,3.0,
842,0,87268.0,18.0,0.0,0.0,187.5805703,0.0,26.36713414
5744,0,63487.0,22.0,0.0,0.0,212.2548894,0.0,41.24673596
5444,0,294372.0,27.0,0.0,0.0,150.2093805,0.0,39.07277566
169,0,50340.0,10.0,,,179.8333333,,
1912,0,37882.0,8.8,0.0,0.0,87.2,2.0,
4896,0,116386.0,8.0,0.0,1.0,397.8706892,0.0,41.86989334
2405,0,63177.0,3.0,0.0,0.0,178.9361677,0.0,27.06223348
3195,0,74459.0,,0.0,0.0,248.7187801,0.0,44.55215415
5217,0,191419.0,1.0,0.0,0.0,186.9830429,0.0,39.56330308
4817,0,50963.0,24.0,0.0,0.0,302.4312241,,31.25832865
3976,0,74486.0,6.0,0.0,0.0,407.5856237,0.0,22.16287266
4970,0,88124.0,7.0,0.0,0.0,234.2215473,1.0,37.15829482
4980,0,66030.0,17.0,0.0,0.0,184.3849541,2.0,31.48990578
4748,0,93400.0,10.0,0.0,0.0,149.1666667,0.0,
5580,0,268745.0,4.0,0.0,0.0,267.920922,0.0,32.74759312
5343,0,171366.0,13.0,0.0,0.0,176.5,2.0,
892,0,81223.0,4.0,0.0,0.0,102.2464696,2.0,26.20640995
1097,0,90143.0,17.0,0.0,0.0,171.4136584,0.0,25.62165041
2009,0,110007.0,10.0,0.0,2.0,169.1919843,0.0,32.82003727
332,0,62500.0,7.0,,4.0,111.3,2.0,
745,0,78320.0,18.0,0.0,0.0,195.8333333,1.0,
2531,1,68250.0,7.0,0.0,1.0,55.96666667,0.0,
2862,0,120451.0,1.0,0.0,0.0,123.4655194,2.0,37.99240801
4114,0,186976.0,18.0,0.0,0.0,227.3474864,1.0,42.66067749
4315,0,59799.0,,0.0,0.0,219.4892985,0.0,41.14904123
2093,0,30809.0,7.0,0.0,1.0,89.65253609,0.0,18.10528202
5814,0,59000.0,12.0,0.0,1.0,102.5,2.0,
2829,0,39285.0,2.0,0.0,0.0,209.0374415,0.0,38.88812837
2948,1,135447.0,17.0,0.0,5.0,129.7801316,9.0,45.55441548
2220,0,105590.0,6.0,0.0,0.0,201.0424021,2.0,43.47167729
899,1,90585.0,18.0,1.0,1.0,207.9666667,0.0,
2995,0,109025.0,10.0,0.0,0.0,155.2666667,3.0,
1079,0,111563.0,0.0,0.0,0.0,240.9429936,1.0,19.33281003
4831,0,50688.0,24.0,0.0,0.0,125.407464,0.0,25.18149884
5163,0,126560.0,0.0,0.0,0.0,310.6263344,1.0,38.98355812
4879,1,126389.0,25.0,0.0,2.0,307.4029037,2.0,36.76382417
3147,0,92816.0,10.0,0.0,0.0,,1.0,25.71867108
3015,0,97348.0,8.0,,,123.6688208,0.0,36.10792355
1290,0,75811.0,3.0,0.0,0.0,182.0920717,2.0,33.69078564
1324,0,88198.0,15.0,0.0,0.0,97.31940617,0.0,27.32239655
2464,0,111778.0,1.0,1.0,1.0,148.4232463,0.0,31.77010155
371,0,117352.0,6.0,0.0,0.0,199.0119272,0.0,26.52004952
4800,0,47061.0,28.0,0.0,0.0,318.9013325,,31.32456596
5867,0,82670.0,4.0,2.0,0.0,253.3513018,7.0,42.83695513
1531,0,48150.0,3.0,,,165.7680172,,22.30223437
2821,0,44144.0,0.0,0.0,0.0,315.8126317,1.0,25.65038413
5686,0,69488.0,,0.0,0.0,318.0554593,0.0,15.07801115
3204,0,57831.0,0.0,0.0,0.0,330.9709043,0.0,37.94331514
3064,0,91790.0,2.0,0.0,0.0,185.3724624,0.0,35.25727149
338,0,53388.0,9.0,,,178.4896022,,26.72002818
1162,0,51000.0,23.0,0.0,1.0,121.7333333,0.0,
415,0,72557.0,0.0,0.0,1.0,94.00805286,2.0,34.89841307
4566,0,49842.0,25.0,0.0,0.0,300.2963125,,30.20398928
5063,0,70656.0,8.0,0.0,0.0,125.7160414,1.0,43.1338449
980,0,70535.0,12.0,3.0,1.0,245.9,2.0,
412,0,117530.0,29.0,0.0,0.0,327.2006385,1.0,34.34583769
1980,0,39264.0,7.0,0.0,0.0,93.39500247,2.0,31.28306102
4643,0,71327.0,6.0,0.0,0.0,45.48580177,1.0,37.01414079
4376,0,109716.0,9.0,0.0,1.0,289.8223697,1.0,31.47990688
4989,0,68945.0,18.0,0.0,0.0,173.4953921,2.0,32.34941205
518,1,65000.0,14.0,2.0,1.0,98.43333333,11.0,
557,0,91425.0,3.5,0.0,0.0,128.8333333,0.0,
1513,0,107561.0,5.0,0.0,1.0,226.7811051,0.0,24.19032663
1193,1,60670.0,5.0,2.0,0.0,15.23333333,0.0,
3824,0,51068.0,25.0,0.0,2.0,210.7198667,0.0,29.16004451
5836,0,103789.0,9.0,0.0,0.0,208.7665748,3.0,40.01526267
5674,0,203712.0,5.0,0.0,0.0,150.8043968,0.0,37.30801307
5136,0,174323.0,0.0,0.0,0.0,243.053713,2.0,35.27186703
3748,0,199172.0,14.0,0.0,0.0,197.923806,0.0,35.33060397
2950,0,114758.0,7.0,0.0,0.0,298.4644353,2.0,32.6225601
2374,0,113372.0,9.0,0.0,0.0,190.7530437,1.0,40.77814232
3855,0,166423.0,1.0,,0.0,395.1487613,,36.13250999
4877,1,80000.0,,0.0,0.0,135.9,2.0,
2708,1,108175.0,6.0,1.0,0.0,82.10483648,0.0,22.50324916
3369,0,95860.0,7.0,,,95.68425477,0.0,38.14282274
3593,1,78045.0,2.0,1.0,5.0,74.09119603,1.0,42.1982822
1295,0,40116.0,3.0,,,,,36.90541431
2272,0,53200.0,,0.0,0.0,83.06246819,0.0,42.40363421
2839,1,64847.0,,0.0,0.0,120.738013,2.0,36.83445756
5139,0,202542.0,10.0,0.0,0.0,266.938956,2.0,42.82914582
195,0,115341.0,7.0,0.0,0.0,177.9582551,1.0,26.25797013
1599,0,108515.0,11.0,0.0,0.0,206.8225881,3.0,39.11103947
2946,0,87682.0,10.0,0.0,0.0,87.21132856,3.0,31.37926884
2480,0,61986.0,7.0,0.0,0.0,249.2488046,0.0,21.00928089
4481,0,106590.0,6.0,,,,,29.37165152
5560,0,268436.0,3.0,0.0,0.0,243.2954303,0.0,30.93897745
635,0,31602.0,20.0,0.0,0.0,192.1211081,0.0,35.58605153
281,0,39052.0,3.0,0.0,0.0,272.2206283,0.0,39.89610462
2758,1,73117.0,13.0,,,,,29.54185091
783,1,95213.0,5.0,1.0,4.0,326.6795905,0.0,38.19168174
713,0,86782.0,15.0,0.0,0.0,219.5658125,0.0,24.63662135
2299,0,69878.0,8.0,0.0,0.0,259.8132832,1.0,23.73521616
2926,0,116491.0,1.0,0.0,0.0,117.8736121,2.0,38.7636997
4451,0,100170.0,2.0,0.0,0.0,156.675375,0.0,34.00023607
5189,0,87390.0,8.0,0.0,0.0,138.4864766,3.0,41.54380471
4908,0,167096.0,7.0,0.0,1.0,209.085283,1.0,36.18947433
5695,0,207314.0,6.0,0.0,0.0,144.6224183,0.0,36.77626356
5469,0,101222.0,2.0,0.0,0.0,181.9098245,2.0,35.04559626
553,0,59323.0,4.0,0.0,0.0,83.34671188,0.0,23.39763463
2039,0,64764.0,4.0,0.0,0.0,211.0666667,3.0,
2388,0,41987.0,9.0,0.0,0.0,120.9555144,0.0,21.11871262
2339,0,108452.0,19.0,0.0,0.0,134.9932518,4.0,29.77894608
4242,0,117905.0,25.0,0.0,0.0,233.7484518,1.0,41.52372299
2669,0,58834.0,,0.0,0.0,100.0144552,0.0,41.10267691
1997,0,84472.0,2.0,,,187.1791987,,29.99503841
3955,0,64980.0,6.0,0.0,0.0,112.6358603,1.0,17.69314418
5462,0,77819.0,,,,294.4306958,0.0,40.23707296
3290,0,108948.0,4.0,0.0,0.0,125.1094856,1.0,37.10302599
500,1,119500.0,1.0,1.0,0.0,54.83333333,0.0,
1831,0,48393.0,10.0,0.0,0.0,82.76016033,0.0,34.38536707
2378,0,123339.0,,,,,,35.31117092
1975,0,87256.0,26.0,0.0,0.0,167.1637357,1.0,40.37613759
4635,0,153184.0,4.0,0.0,0.0,298.2829133,0.0,36.33656439
5646,0,70545.0,3.0,0.0,0.0,197.4524289,2.0,25.36055735
2699,0,103063.0,18.0,0.0,0.0,127.5661883,3.0,28.17177747
